,2Cooking,timestamp
405,19.85,2022-01-12 07:55:49.389000+01:00
406,20.05,2022-01-12 08:11:39.730000+01:00
407,20.15,2022-01-12 08:27:29.855000+01:00
408,20.45,2022-01-12 08:43:19.714000+01:00
409,20.6,2022-01-12 08:59:09.318000+01:00
410,20.6,2022-01-12 09:14:58.562000+01:00
411,20.6,2022-01-12 09:30:47.839000+01:00
412,20.5,2022-01-12 09:46:37.259000+01:00
413,20.25,2022-01-12 10:02:27.027000+01:00
414,20.2,2022-01-12 10:18:17.039000+01:00
415,20.1,2022-01-12 10:34:06.868000+01:00
416,27.1,2022-01-12 10:49:54.055000+01:00
417,20.7,2022-01-12 11:05:38.945000+01:00
418,20.15,2022-01-12 11:21:28.480000+01:00
419,20.45,2022-01-12 11:37:18.518000+01:00
420,20.5,2022-01-12 11:53:08.085000+01:00
421,20.25,2022-01-12 12:08:57.809000+01:00
422,20.2,2022-01-12 12:24:47.675000+01:00
423,19.9,2022-01-12 12:40:37.710000+01:00
424,19.95,2022-01-12 12:56:27.751000+01:00
425,20.0,2022-01-12 13:12:17.982000+01:00
426,19.8,2022-01-12 13:28:08.290000+01:00
427,19.75,2022-01-12 13:43:58.733000+01:00
428,19.8,2022-01-12 13:59:49.345000+01:00
429,19.75,2022-01-12 14:15:39.946000+01:00
430,19.7,2022-01-12 14:31:30.392000+01:00
431,19.7,2022-01-12 14:47:20.900000+01:00
432,19.75,2022-01-12 15:03:11.340000+01:00
433,19.75,2022-01-12 15:19:02.120000+01:00
434,19.8,2022-01-12 15:34:52.847000+01:00
435,21.3,2022-01-12 15:50:42.479000+01:00
436,21.15,2022-01-12 16:06:30.574000+01:00
437,21.0,2022-01-12 16:22:19.269000+01:00
438,21.4,2022-01-12 16:38:07.499000+01:00
439,22.3,2022-01-12 16:53:54.666000+01:00
440,22.55,2022-01-12 17:09:40.963000+01:00
441,21.9,2022-01-12 17:25:27.377000+01:00
442,21.5,2022-01-12 17:41:14.808000+01:00
443,21.25,2022-01-12 17:57:02.532000+01:00
444,21.1,2022-01-12 18:12:50.705000+01:00
445,20.95,2022-01-12 18:28:39.146000+01:00
446,20.85,2022-01-12 18:44:27.793000+01:00
447,20.7,2022-01-12 19:00:16.421000+01:00
448,20.7,2022-01-12 19:16:05.125000+01:00
449,20.35,2022-01-12 19:31:54.350000+01:00
450,20.5,2022-01-12 19:47:43.341000+01:00
451,20.5,2022-01-12 20:03:32.723000+01:00
452,20.4,2022-01-12 20:19:22.246000+01:00
453,20.2,2022-01-12 20:35:12.011000+01:00
454,20.15,2022-01-12 20:51:01.992000+01:00
455,19.95,2022-01-12 21:06:51.958000+01:00
456,20.1,2022-01-12 21:22:42.126000+01:00
457,20.1,2022-01-12 21:38:32.216000+01:00
458,19.85,2022-01-12 21:54:22.269000+01:00
459,19.95,2022-01-12 22:10:12.582000+01:00
460,20.0,2022-01-12 22:26:02.860000+01:00
461,19.85,2022-01-12 22:41:53.165000+01:00
462,19.95,2022-01-12 22:57:43.485000+01:00
463,19.85,2022-01-12 23:13:33.886000+01:00
464,19.6,2022-01-12 23:29:24.620000+01:00
465,19.75,2022-01-12 23:45:15.466000+01:00
466,19.7,2022-01-13 00:01:06.587000+01:00
467,19.6,2022-01-13 00:16:57.306000+01:00
468,19.5,2022-01-13 00:32:48.167000+01:00
469,19.6,2022-01-13 00:48:39.174000+01:00
470,19.6,2022-01-13 01:04:30.183000+01:00
471,19.45,2022-01-13 01:20:21.186000+01:00
472,19.4,2022-01-13 01:36:12.464000+01:00
473,19.35,2022-01-13 01:52:03.767000+01:00
474,19.45,2022-01-13 02:07:55.072000+01:00
475,19.3,2022-01-13 02:23:46.477000+01:00
476,19.25,2022-01-13 02:39:37.815000+01:00
477,19.25,2022-01-13 02:55:29.125000+01:00
478,19.3,2022-01-13 03:11:20.650000+01:00
479,19.1,2022-01-13 03:27:12.055000+01:00
480,19.3,2022-01-13 03:43:03.583000+01:00
481,19.35,2022-01-13 03:58:55.170000+01:00
482,19.15,2022-01-13 04:14:46.862000+01:00
483,19.15,2022-01-13 04:30:38.601000+01:00
484,19.25,2022-01-13 04:46:30.386000+01:00
485,19.2,2022-01-13 05:02:22.274000+01:00
486,19.25,2022-01-13 05:18:13.853000+01:00
487,19.25,2022-01-13 05:34:05.443000+01:00
488,19.15,2022-01-13 05:49:57.063000+01:00
489,19.2,2022-01-13 06:05:48.950000+01:00
490,19.3,2022-01-13 06:21:40.797000+01:00
491,19.1,2022-01-13 06:37:32.471000+01:00
492,19.15,2022-01-13 06:53:24.128000+01:00
493,20.9,2022-01-13 07:09:14.807000+01:00
494,21.5,2022-01-13 07:25:03.345000+01:00
495,21.45,2022-01-13 07:40:51.434000+01:00
496,21.15,2022-01-13 07:56:39.447000+01:00
497,20.85,2022-01-13 08:12:27.782000+01:00
498,21.2,2022-01-13 08:28:16.652000+01:00
499,21.75,2022-01-13 08:44:04.730000+01:00
500,21.6,2022-01-13 08:59:52.402000+01:00
501,21.1,2022-01-13 09:15:40.597000+01:00
502,20.95,2022-01-13 09:31:29.359000+01:00
503,20.55,2022-01-13 09:47:18.506000+01:00
504,20.7,2022-01-13 10:03:07.868000+01:00
505,20.55,2022-01-13 10:18:57.386000+01:00
506,20.5,2022-01-13 10:34:46.997000+01:00
507,20.45,2022-01-13 10:50:36.726000+01:00
508,20.4,2022-01-13 11:06:26.563000+01:00
509,20.3,2022-01-13 11:22:16.525000+01:00
510,20.3,2022-01-13 11:38:06.651000+01:00
511,20.2,2022-01-13 11:53:56.940000+01:00
512,21.05,2022-01-13 12:09:46.912000+01:00
513,21.6,2022-01-13 12:25:35.197000+01:00
514,21.2,2022-01-13 12:41:23.445000+01:00
515,21.1,2022-01-13 12:57:12.279000+01:00
516,21.35,2022-01-13 13:13:01+01:00
517,21.15,2022-01-13 13:28:49.722000+01:00
518,20.95,2022-01-13 13:44:38.783000+01:00
519,20.95,2022-01-13 14:00:27.730000+01:00
520,20.95,2022-01-13 14:16:16.969000+01:00
521,20.8,2022-01-13 14:32:06.070000+01:00
522,20.85,2022-01-13 14:47:54.829000+01:00
523,20.8,2022-01-13 15:03:44.141000+01:00
524,20.8,2022-01-13 15:19:33.420000+01:00
525,20.55,2022-01-13 15:35:22.748000+01:00
526,20.7,2022-01-13 15:51:12.041000+01:00
527,21.1,2022-01-13 16:07:01.317000+01:00
528,22.25,2022-01-13 16:22:49.112000+01:00
529,22.5,2022-01-13 16:38:35.646000+01:00
530,22.6,2022-01-13 16:54:22.068000+01:00
531,23.55,2022-01-13 17:10:07.723000+01:00
532,23.55,2022-01-13 17:25:52.698000+01:00
533,23.6,2022-01-13 17:41:37.436000+01:00
534,23.5,2022-01-13 17:57:22.604000+01:00
535,23.1,2022-01-13 18:13:08.085000+01:00
536,22.9,2022-01-13 18:28:53.769000+01:00
