,0BGuestDoor,timestamp
1,NOT_PRESENT,2022-03-09 11:28:17.095000+01:00
2,PRESENT,2022-03-09 12:15:33.399000+01:00
0,NOT_PRESENT,2022-03-10 16:17:47.960000+01:00
1,PRESENT,2022-03-10 18:03:54.340000+01:00
0,NOT_PRESENT,2022-03-16 20:48:50.875000+01:00
1,PRESENT,2022-03-16 21:56:37.835000+01:00
2,NOT_PRESENT,2022-03-16 22:19:10.179000+01:00
3,PRESENT,2022-03-16 22:19:37.453000+01:00
4,NOT_PRESENT,2022-03-16 22:22:36.058000+01:00
5,PRESENT,2022-03-16 22:22:45.997000+01:00
0,NOT_PRESENT,2022-03-18 12:52:39.688000+01:00
1,PRESENT,2022-03-18 13:02:39.676000+01:00
2,NOT_PRESENT,2022-03-18 14:28:10.755000+01:00
3,PRESENT,2022-03-18 14:38:08.522000+01:00
4,NOT_PRESENT,2022-03-18 16:40:00.273000+01:00
5,PRESENT,2022-03-18 16:40:35.966000+01:00
0,NOT_PRESENT,2022-03-19 14:05:50.696000+01:00
0,PRESENT,2022-03-25 08:39:42.572000+01:00
0,NOT_PRESENT,2022-04-01 08:26:52.190000+02:00
1,PRESENT,2022-04-01 09:54:44.957000+02:00
0,NOT_PRESENT,2022-04-03 15:16:16.360000+02:00
1,PRESENT,2022-04-03 15:16:27.722000+02:00
2,NOT_PRESENT,2022-04-03 15:16:39.092000+02:00
3,PRESENT,2022-04-03 15:16:51.386000+02:00
4,NOT_PRESENT,2022-04-03 15:16:52.793000+02:00
5,PRESENT,2022-04-03 15:20:36.861000+02:00
0,NOT_PRESENT,2022-04-05 09:27:29.427000+02:00
1,PRESENT,2022-04-05 09:27:49.195000+02:00
0,NOT_PRESENT,2022-04-07 17:04:26.630000+02:00
1,PRESENT,2022-04-07 17:04:40.261000+02:00
0,NOT_PRESENT,2022-04-16 16:50:00.937000+02:00
1,PRESENT,2022-04-16 17:43:45.476000+02:00
2,NOT_PRESENT,2022-04-16 17:44:08.335000+02:00
3,PRESENT,2022-04-16 17:45:41.433000+02:00
4,NOT_PRESENT,2022-04-16 17:46:21.868000+02:00
5,PRESENT,2022-04-16 17:49:30.207000+02:00
0,NOT_PRESENT,2022-04-19 12:10:26.705000+02:00
1,PRESENT,2022-04-19 12:10:50.726000+02:00
0,NOT_PRESENT,2022-04-22 09:50:43.059000+02:00
1,PRESENT,2022-04-22 09:50:53.759000+02:00
2,NOT_PRESENT,2022-04-22 10:43:39.370000+02:00
3,PRESENT,2022-04-22 12:37:39.989000+02:00
4,NOT_PRESENT,2022-04-22 20:19:28.193000+02:00
5,PRESENT,2022-04-22 20:21:17.307000+02:00
6,NOT_PRESENT,2022-04-22 20:33:15.693000+02:00
7,PRESENT,2022-04-22 20:33:24.346000+02:00
0,NOT_PRESENT,2022-04-26 13:49:55.751000+02:00
1,PRESENT,2022-04-26 13:51:24.014000+02:00
0,NOT_PRESENT,2022-04-27 21:14:15.635000+02:00
1,PRESENT,2022-04-27 22:46:51.509000+02:00
0,NOT_PRESENT,2022-05-06 18:49:26.578000+02:00
1,PRESENT,2022-05-06 18:50:45.676000+02:00
0,NOT_PRESENT,2022-05-08 10:48:53.522000+02:00
1,PRESENT,2022-05-08 10:49:27.036000+02:00
0,NOT_PRESENT,2022-05-13 09:20:58.450000+02:00
1,PRESENT,2022-05-13 09:21:27.275000+02:00
0,NOT_PRESENT,2022-05-14 18:51:54.331000+02:00
1,PRESENT,2022-05-14 18:52:40.665000+02:00
2,NOT_PRESENT,2022-05-14 18:55:00.591000+02:00
3,PRESENT,2022-05-14 18:55:45.308000+02:00
4,NOT_PRESENT,2022-05-14 18:58:49.416000+02:00
5,PRESENT,2022-05-14 19:06:36.516000+02:00
6,NOT_PRESENT,2022-05-14 19:06:37.915000+02:00
7,PRESENT,2022-05-14 19:06:39.317000+02:00
0,NOT_PRESENT,2022-05-16 08:44:46.391000+02:00
1,PRESENT,2022-05-16 08:44:48.941000+02:00
0,NOT_PRESENT,2022-05-20 10:45:46.061000+02:00
1,PRESENT,2022-05-20 14:04:28.915000+02:00
2,NOT_PRESENT,2022-05-20 14:07:45.905000+02:00
3,PRESENT,2022-05-20 14:08:12.607000+02:00
0,NOT_PRESENT,2022-05-21 17:21:51.182000+02:00
1,PRESENT,2022-05-21 18:02:12.813000+02:00
0,NOT_PRESENT,2022-05-23 17:58:53.491000+02:00
1,PRESENT,2022-05-23 17:58:56.036000+02:00
0,NOT_PRESENT,2022-05-24 16:12:48.255000+02:00
1,PRESENT,2022-05-24 16:13:07.744000+02:00
0,NOT_PRESENT,2022-05-25 21:46:40.051000+02:00
1,PRESENT,2022-05-25 21:48:08.720000+02:00
2,NOT_PRESENT,2022-05-25 21:48:24.617000+02:00
3,PRESENT,2022-05-25 21:48:36.737000+02:00
4,NOT_PRESENT,2022-05-25 21:52:15.910000+02:00
0,PRESENT,2022-05-27 10:37:28.766000+02:00
1,NOT_PRESENT,2022-05-27 11:42:00.764000+02:00
2,PRESENT,2022-05-27 11:42:05.965000+02:00
0,NOT_PRESENT,2022-05-27 22:45:57.848000+02:00
1,PRESENT,2022-05-27 23:04:18.842000+02:00
0,NOT_PRESENT,2022-05-29 09:08:23.341000+02:00
1,PRESENT,2022-05-29 09:48:06.914000+02:00
0,NOT_PRESENT,2022-05-30 09:15:23.274000+02:00
0,PRESENT,2022-05-31 02:33:35.280000+02:00
1,NOT_PRESENT,2022-05-31 09:48:23.159000+02:00
2,PRESENT,2022-05-31 09:48:32.346000+02:00
3,NOT_PRESENT,2022-05-31 10:26:07.156000+02:00
4,PRESENT,2022-05-31 10:26:22.601000+02:00
0,NOT_PRESENT,2022-06-01 01:21:09.787000+02:00
1,PRESENT,2022-06-01 10:21:01.315000+02:00
0,NOT_PRESENT,2022-06-02 00:56:22.406000+02:00
1,PRESENT,2022-06-02 00:59:05.454000+02:00
2,NOT_PRESENT,2022-06-02 15:24:46.101000+02:00
3,PRESENT,2022-06-02 15:28:14.772000+02:00
4,NOT_PRESENT,2022-06-02 19:21:55.573000+02:00
0,PRESENT,2022-06-03 13:45:31.068000+02:00
1,NOT_PRESENT,2022-06-03 13:50:55.288000+02:00
0,PRESENT,2022-06-03 21:48:42.377000+02:00
1,NOT_PRESENT,2022-06-03 21:48:43.759000+02:00
2,PRESENT,2022-06-03 21:56:31.611000+02:00
3,NOT_PRESENT,2022-06-03 21:56:41.904000+02:00
4,PRESENT,2022-06-04 01:18:30.933000+02:00
5,NOT_PRESENT,2022-06-04 12:26:21.811000+02:00
0,PRESENT,2022-06-04 23:53:17.583000+02:00
1,NOT_PRESENT,2022-06-04 23:59:08.748000+02:00
2,PRESENT,2022-06-04 23:59:19.250000+02:00
3,NOT_PRESENT,2022-06-05 19:36:02.921000+02:00
0,PRESENT,2022-06-05 21:15:22.766000+02:00
1,NOT_PRESENT,2022-06-05 22:53:07.019000+02:00
2,PRESENT,2022-06-05 22:54:10.844000+02:00
3,NOT_PRESENT,2022-06-06 15:18:22.869000+02:00
4,PRESENT,2022-06-06 16:12:02.964000+02:00
0,NOT_PRESENT,2022-06-07 08:50:50.515000+02:00
1,PRESENT,2022-06-07 08:50:59.002000+02:00
2,NOT_PRESENT,2022-06-07 09:52:51.485000+02:00
3,PRESENT,2022-06-07 09:52:56.628000+02:00
4,NOT_PRESENT,2022-06-07 17:01:13.242000+02:00
5,PRESENT,2022-06-07 17:46:28.326000+02:00
0,NOT_PRESENT,2022-06-08 14:47:26.259000+02:00
1,PRESENT,2022-06-08 14:47:29.418000+02:00
2,NOT_PRESENT,2022-06-08 18:38:35.936000+02:00
3,PRESENT,2022-06-08 18:38:50.891000+02:00
4,NOT_PRESENT,2022-06-08 19:09:34.792000+02:00
0,PRESENT,2022-06-09 09:04:42.175000+02:00
1,NOT_PRESENT,2022-06-09 09:34:12.532000+02:00
2,PRESENT,2022-06-09 09:34:18.333000+02:00
3,NOT_PRESENT,2022-06-09 09:53:28.960000+02:00
4,PRESENT,2022-06-09 09:55:22.271000+02:00
5,NOT_PRESENT,2022-06-09 20:11:36.403000+02:00
0,PRESENT,2022-06-09 22:41:58.876000+02:00
1,NOT_PRESENT,2022-06-10 10:08:20.114000+02:00
2,PRESENT,2022-06-10 10:08:26.583000+02:00
3,NOT_PRESENT,2022-06-10 11:09:56.906000+02:00
4,PRESENT,2022-06-10 11:10:09.622000+02:00
0,NOT_PRESENT,2022-06-12 20:43:06.841000+02:00
0,PRESENT,2022-06-12 21:30:52.001000+02:00
0,NOT_PRESENT,2022-06-14 09:44:15.429000+02:00
1,PRESENT,2022-06-14 09:44:20.553000+02:00
2,NOT_PRESENT,2022-06-14 18:45:04.023000+02:00
3,PRESENT,2022-06-14 19:14:25.039000+02:00
0,NOT_PRESENT,2022-06-15 15:50:12.700000+02:00
1,PRESENT,2022-06-15 15:54:45.555000+02:00
2,NOT_PRESENT,2022-06-15 17:41:11.370000+02:00
3,PRESENT,2022-06-15 19:01:41.066000+02:00
0,NOT_PRESENT,2022-06-16 17:30:12.394000+02:00
1,PRESENT,2022-06-16 17:30:16.854000+02:00
2,NOT_PRESENT,2022-06-16 17:30:18.424000+02:00
3,PRESENT,2022-06-16 18:11:10.171000+02:00
0,NOT_PRESENT,2022-06-16 23:36:45.066000+02:00
1,PRESENT,2022-06-17 00:09:43.718000+02:00
0,NOT_PRESENT,2022-06-18 23:05:28.748000+02:00
1,PRESENT,2022-06-18 23:05:38.763000+02:00
2,PRESENT,2022-06-19 15:43:54.233000+02:00
0,NOT_PRESENT,2022-06-20 09:25:53.089000+02:00
1,PRESENT,2022-06-20 09:26:08.475000+02:00
2,NOT_PRESENT,2022-06-20 16:30:43.271000+02:00
3,PRESENT,2022-06-20 16:31:39.155000+02:00
