,0BRoom,timestamp
210,16.35,2022-01-10 04:06:28.650000+01:00
211,16.3,2022-01-10 04:22:09.547000+01:00
212,16.2,2022-01-10 04:37:50.667000+01:00
213,16.15,2022-01-10 04:53:32.040000+01:00
214,16.15,2022-01-10 05:09:13.667000+01:00
215,16.1,2022-01-10 05:24:55.525000+01:00
216,16.1,2022-01-10 05:40:37.297000+01:00
217,16.1,2022-01-10 05:56:19.200000+01:00
218,16.0,2022-01-10 06:12:01.361000+01:00
219,16.05,2022-01-10 06:27:43.761000+01:00
220,16.0,2022-01-10 06:43:26.096000+01:00
221,15.95,2022-01-10 06:59:08.452000+01:00
222,15.9,2022-01-10 07:14:51.074000+01:00
223,15.65,2022-01-10 07:30:34.049000+01:00
224,15.55,2022-01-10 07:46:18.520000+01:00
225,15.6,2022-01-10 08:02:02.943000+01:00
226,15.6,2022-01-10 08:17:47.438000+01:00
227,15.6,2022-01-10 08:33:31.791000+01:00
228,15.6,2022-01-10 08:49:16.086000+01:00
229,15.6,2022-01-10 09:05:00.498000+01:00
230,15.55,2022-01-10 09:20:44.946000+01:00
231,15.55,2022-01-10 09:36:29.530000+01:00
232,15.55,2022-01-10 09:52:13.906000+01:00
233,15.55,2022-01-10 10:07:58.602000+01:00
234,15.45,2022-01-10 10:23:43.637000+01:00
235,15.45,2022-01-10 10:39:28.668000+01:00
236,15.55,2022-01-10 10:55:13.538000+01:00
237,15.6,2022-01-10 11:10:58.382000+01:00
238,15.55,2022-01-10 11:26:43.017000+01:00
239,15.6,2022-01-10 11:42:27.565000+01:00
240,15.6,2022-01-10 11:58:12.003000+01:00
241,15.6,2022-01-10 12:13:56.399000+01:00
242,15.65,2022-01-10 12:29:40.838000+01:00
243,15.65,2022-01-10 12:45:25.175000+01:00
244,15.7,2022-01-10 13:01:09.446000+01:00
245,15.7,2022-01-10 13:16:53.496000+01:00
246,15.7,2022-01-10 13:32:37.244000+01:00
247,15.7,2022-01-10 13:48:20.592000+01:00
248,15.75,2022-01-10 14:04:04.072000+01:00
249,15.75,2022-01-10 14:19:47.468000+01:00
250,15.8,2022-01-10 14:35:30.837000+01:00
251,16.05,2022-01-10 14:51:13.296000+01:00
252,16.05,2022-01-10 15:06:55.256000+01:00
253,16.1,2022-01-10 15:22:37.023000+01:00
254,16.1,2022-01-10 15:38:18.736000+01:00
255,16.2,2022-01-10 15:54:00.430000+01:00
256,16.15,2022-01-10 16:09:42.176000+01:00
257,16.2,2022-01-10 16:25:23.787000+01:00
258,16.2,2022-01-10 16:41:05.383000+01:00
259,16.25,2022-01-10 16:56:47.112000+01:00
260,16.25,2022-01-10 17:12:28.751000+01:00
261,16.3,2022-01-10 17:28:10.389000+01:00
262,16.3,2022-01-10 17:43:51.994000+01:00
263,16.35,2022-01-10 17:59:33.533000+01:00
264,16.35,2022-01-10 18:15:14.607000+01:00
265,16.35,2022-01-10 18:30:55.538000+01:00
266,16.4,2022-01-10 18:46:36.508000+01:00
267,16.45,2022-01-10 19:02:17.393000+01:00
268,16.4,2022-01-10 19:17:58.028000+01:00
269,16.4,2022-01-10 19:33:38.899000+01:00
270,16.35,2022-01-10 19:49:19.895000+01:00
271,16.4,2022-01-10 20:05:00.778000+01:00
272,16.4,2022-01-10 20:20:41.581000+01:00
273,16.45,2022-01-10 20:36:22.318000+01:00
274,16.5,2022-01-10 20:52:02.893000+01:00
275,16.5,2022-01-10 21:07:43.400000+01:00
276,16.5,2022-01-10 21:23:23.617000+01:00
277,16.5,2022-01-10 21:39:03.948000+01:00
278,16.5,2022-01-10 21:54:44.333000+01:00
279,16.55,2022-01-10 22:10:24.794000+01:00
280,16.5,2022-01-10 22:26:05.123000+01:00
281,16.55,2022-01-10 22:41:45.519000+01:00
282,16.55,2022-01-10 22:57:25.816000+01:00
283,16.6,2022-01-10 23:13:06.253000+01:00
284,16.6,2022-01-10 23:28:46.496000+01:00
285,16.55,2022-01-10 23:44:26.744000+01:00
286,16.55,2022-01-11 00:00:06.814000+01:00
287,16.6,2022-01-11 00:15:46.694000+01:00
288,16.6,2022-01-11 00:31:26.445000+01:00
289,16.65,2022-01-11 00:47:06.076000+01:00
290,16.65,2022-01-11 01:02:45.515000+01:00
291,16.65,2022-01-11 01:18:24.876000+01:00
292,16.7,2022-01-11 01:34:04.216000+01:00
293,16.9,2022-01-11 01:49:43.641000+01:00
294,16.7,2022-01-11 02:05:22.894000+01:00
295,16.75,2022-01-11 02:21:02.246000+01:00
296,16.75,2022-01-11 02:36:41.124000+01:00
297,16.75,2022-01-11 02:52:20.039000+01:00
298,16.85,2022-01-11 03:07:59.018000+01:00
299,16.85,2022-01-11 03:23:37.886000+01:00
300,16.85,2022-01-11 03:39:16.648000+01:00
301,16.9,2022-01-11 03:54:55.421000+01:00
302,16.9,2022-01-11 04:10:33.975000+01:00
303,16.95,2022-01-11 04:26:12.455000+01:00
304,17.0,2022-01-11 04:41:50.904000+01:00
305,17.05,2022-01-11 04:57:29.175000+01:00
306,17.05,2022-01-11 05:13:07.220000+01:00
307,17.05,2022-01-11 05:28:45.344000+01:00
308,17.15,2022-01-11 05:44:23.003000+01:00
309,17.05,2022-01-11 06:00:00.618000+01:00
310,17.1,2022-01-11 06:15:38.364000+01:00
311,17.1,2022-01-11 06:31:16.249000+01:00
312,17.15,2022-01-11 06:46:54.300000+01:00
313,17.2,2022-01-11 07:02:32.202000+01:00
314,17.4,2022-01-11 07:18:09.895000+01:00
315,17.35,2022-01-11 07:33:47.418000+01:00
316,17.25,2022-01-11 07:49:24.808000+01:00
317,17.0,2022-01-11 08:05:02.713000+01:00
318,17.05,2022-01-11 08:20:41.129000+01:00
319,17.15,2022-01-11 08:36:19.068000+01:00
320,17.2,2022-01-11 08:51:57.025000+01:00
321,17.4,2022-01-11 09:07:34.723000+01:00
322,17.35,2022-01-11 09:23:12.187000+01:00
