,1Entrance1,timestamp
282,22.15,2022-01-11 02:10:50.465000+01:00
283,22.15,2022-01-11 02:27:25.209000+01:00
284,22.2,2022-01-11 02:44:00.067000+01:00
285,22.3,2022-01-11 03:00:35.065000+01:00
286,22.35,2022-01-11 03:17:09.268000+01:00
287,22.45,2022-01-11 03:33:43.441000+01:00
288,22.5,2022-01-11 03:50:17.235000+01:00
289,22.55,2022-01-11 04:04:48.101000+01:00
290,22.8,2022-01-11 04:21:21.193000+01:00
291,22.7,2022-01-11 04:37:54.287000+01:00
292,22.7,2022-01-11 04:54:27.421000+01:00
293,22.65,2022-01-11 05:11:00.416000+01:00
294,22.8,2022-01-11 05:27:33.317000+01:00
295,22.65,2022-01-11 05:44:06.363000+01:00
296,22.7,2022-01-11 06:00:39.319000+01:00
297,22.65,2022-01-11 06:15:09.512000+01:00
298,22.65,2022-01-11 06:31:42.325000+01:00
299,22.6,2022-01-11 06:46:13.028000+01:00
300,22.7,2022-01-11 07:02:46.112000+01:00
301,22.65,2022-01-11 07:17:16.536000+01:00
302,22.8,2022-01-11 07:33:49.056000+01:00
303,22.9,2022-01-11 07:48:18.681000+01:00
304,22.85,2022-01-11 08:04:50.238000+01:00
305,22.75,2022-01-11 08:21:22.332000+01:00
306,22.55,2022-01-11 08:37:55.293000+01:00
307,22.45,2022-01-11 08:54:29.078000+01:00
308,22.5,2022-01-11 09:11:03.076000+01:00
309,22.45,2022-01-11 09:27:37.371000+01:00
310,22.5,2022-01-11 09:44:11.603000+01:00
311,22.85,2022-01-11 10:00:45.313000+01:00
312,23.05,2022-01-11 10:15:15.548000+01:00
313,23.1,2022-01-11 10:31:47.400000+01:00
314,23.2,2022-01-11 10:48:19.068000+01:00
315,23.25,2022-01-11 11:04:50.575000+01:00
316,23.3,2022-01-11 11:21:21.840000+01:00
317,23.4,2022-01-11 11:35:50.128000+01:00
318,23.4,2022-01-11 11:52:20.281000+01:00
319,23.45,2022-01-11 12:06:48.196000+01:00
320,23.6,2022-01-11 12:23:17.963000+01:00
321,23.7,2022-01-11 12:39:47.737000+01:00
322,23.6,2022-01-11 12:54:15.197000+01:00
323,23.7,2022-01-11 13:10:44.734000+01:00
324,23.55,2022-01-11 13:27:14.303000+01:00
325,23.05,2022-01-11 13:43:45.920000+01:00
326,22.95,2022-01-11 14:00:18.033000+01:00
327,23.0,2022-01-11 14:16:50.309000+01:00
328,23.0,2022-01-11 14:31:20.063000+01:00
329,23.0,2022-01-11 14:47:52.134000+01:00
330,22.95,2022-01-11 15:04:24.632000+01:00
331,22.75,2022-01-11 15:20:57.610000+01:00
332,22.95,2022-01-11 15:37:31.304000+01:00
333,23.35,2022-01-11 15:54:02.961000+01:00
334,23.5,2022-01-11 16:10:33.921000+01:00
335,23.7,2022-01-11 16:27:04.550000+01:00
336,23.8,2022-01-11 16:43:34.639000+01:00
337,23.9,2022-01-11 17:00:04.322000+01:00
338,23.95,2022-01-11 17:16:33.479000+01:00
339,24.0,2022-01-11 17:33:02.268000+01:00
340,24.05,2022-01-11 17:47:28.554000+01:00
341,24.1,2022-01-11 18:03:56.503000+01:00
342,24.35,2022-01-11 18:20:24.517000+01:00
343,24.15,2022-01-11 18:36:52.203000+01:00
344,24.2,2022-01-11 18:53:20.158000+01:00
345,24.05,2022-01-11 19:09:48.515000+01:00
346,24.0,2022-01-11 19:26:16.877000+01:00
347,24.25,2022-01-11 19:42:44.905000+01:00
348,24.25,2022-01-11 19:59:12.903000+01:00
349,24.3,2022-01-11 20:15:40.907000+01:00
350,24.3,2022-01-11 20:32:08.830000+01:00
351,24.25,2022-01-11 20:48:36.536000+01:00
352,23.9,2022-01-11 21:05:04.777000+01:00
353,23.65,2022-01-11 21:21:34.187000+01:00
354,23.5,2022-01-11 21:38:04.034000+01:00
355,23.3,2022-01-11 21:54:34.412000+01:00
356,23.15,2022-01-11 22:11:05.448000+01:00
357,22.9,2022-01-11 22:27:37.100000+01:00
358,22.8,2022-01-11 22:44:09.572000+01:00
359,22.6,2022-01-11 23:00:42.787000+01:00
360,22.4,2022-01-11 23:17:16.438000+01:00
361,22.3,2022-01-11 23:33:50.473000+01:00
362,22.2,2022-01-11 23:48:22.350000+01:00
363,22.0,2022-01-12 00:04:57.265000+01:00
364,21.9,2022-01-12 00:21:32.657000+01:00
365,21.7,2022-01-12 00:38:08.644000+01:00
366,21.85,2022-01-12 00:52:41.974000+01:00
367,21.65,2022-01-12 01:09:18.061000+01:00
368,21.55,2022-01-12 01:25:54.767000+01:00
369,21.4,2022-01-12 01:42:31.831000+01:00
370,21.4,2022-01-12 01:59:09.172000+01:00
371,21.3,2022-01-12 02:15:46.928000+01:00
372,21.15,2022-01-12 02:32:25.311000+01:00
373,21.0,2022-01-12 02:47:00.622000+01:00
374,21.05,2022-01-12 03:03:38.996000+01:00
375,20.85,2022-01-12 03:20:18.252000+01:00
376,20.8,2022-01-12 03:36:57.975000+01:00
377,20.65,2022-01-12 03:53:37.635000+01:00
378,20.55,2022-01-12 04:08:14.380000+01:00
379,20.45,2022-01-12 04:24:54.574000+01:00
380,20.45,2022-01-12 04:41:35.015000+01:00
381,20.4,2022-01-12 04:58:15.396000+01:00
382,20.25,2022-01-12 05:14:55.930000+01:00
383,20.2,2022-01-12 05:31:36.907000+01:00
384,20.2,2022-01-12 05:48:18.016000+01:00
385,20.05,2022-01-12 06:02:55.714000+01:00
386,20.0,2022-01-12 06:19:36.948000+01:00
387,19.95,2022-01-12 06:36:18.834000+01:00
388,20.75,2022-01-12 06:52:59.777000+01:00
389,20.9,2022-01-12 07:09:38.124000+01:00
390,21.0,2022-01-12 07:24:13.672000+01:00
391,21.25,2022-01-12 07:40:51.464000+01:00
392,21.6,2022-01-12 07:57:29.073000+01:00
393,21.45,2022-01-12 08:14:06.150000+01:00
394,21.75,2022-01-12 08:30:42.522000+01:00
395,21.95,2022-01-12 08:47:18.187000+01:00
396,22.35,2022-01-12 09:03:52.868000+01:00
397,22.4,2022-01-12 09:20:27.064000+01:00
398,22.5,2022-01-12 09:34:58.273000+01:00
399,22.6,2022-01-12 09:51:31.295000+01:00
400,22.75,2022-01-12 10:08:04.276000+01:00
401,22.85,2022-01-12 10:24:36.940000+01:00
402,23.05,2022-01-12 10:41:09.325000+01:00
