,1GuestRoom,timestamp
255,14.55,2022-01-10 12:34:48.319000+01:00
256,14.4,2022-01-10 12:49:17.912000+01:00
257,14.4,2022-01-10 13:03:47.368000+01:00
258,14.6,2022-01-10 13:18:16.705000+01:00
259,14.4,2022-01-10 13:32:46.145000+01:00
260,14.4,2022-01-10 13:47:15.766000+01:00
261,14.45,2022-01-10 14:01:45.107000+01:00
262,14.4,2022-01-10 14:16:14.555000+01:00
263,14.45,2022-01-10 14:30:43.933000+01:00
264,14.45,2022-01-10 14:45:13.358000+01:00
265,14.55,2022-01-10 14:59:42.827000+01:00
266,14.55,2022-01-10 15:14:12.418000+01:00
267,14.4,2022-01-10 15:28:42.005000+01:00
268,14.4,2022-01-10 15:43:11.501000+01:00
269,14.9,2022-01-10 15:57:40.244000+01:00
270,15.5,2022-01-10 16:14:15.850000+01:00
271,15.85,2022-01-10 16:28:41.625000+01:00
272,16.2,2022-01-10 16:43:06.394000+01:00
273,16.45,2022-01-10 16:57:30.379000+01:00
274,16.7,2022-01-10 17:14:01.466000+01:00
275,16.9,2022-01-10 17:28:23.910000+01:00
276,17.15,2022-01-10 17:44:53.496000+01:00
277,17.25,2022-01-10 17:59:14.859000+01:00
278,17.3,2022-01-10 18:15:43.247000+01:00
279,17.4,2022-01-10 18:30:03.866000+01:00
280,17.55,2022-01-10 18:46:32.011000+01:00
281,17.65,2022-01-10 19:00:51.984000+01:00
282,17.75,2022-01-10 19:17:19.072000+01:00
283,17.8,2022-01-10 19:31:38.699000+01:00
284,17.9,2022-01-10 19:48:05.474000+01:00
285,17.85,2022-01-10 20:02:24.859000+01:00
286,17.7,2022-01-10 20:18:51.863000+01:00
287,17.6,2022-01-10 20:33:11.734000+01:00
288,17.4,2022-01-10 20:49:39.570000+01:00
289,17.3,2022-01-10 21:04:00.464000+01:00
290,17.2,2022-01-10 21:20:29.568000+01:00
291,17.3,2022-01-10 21:34:50.895000+01:00
292,17.35,2022-01-10 21:51:19.570000+01:00
293,17.4,2022-01-10 22:05:40.548000+01:00
294,17.5,2022-01-10 22:22:08.974000+01:00
295,17.5,2022-01-10 22:36:29.847000+01:00
296,17.55,2022-01-10 22:50:50.579000+01:00
297,17.65,2022-01-10 23:07:19.140000+01:00
298,17.65,2022-01-10 23:21:39.448000+01:00
299,17.7,2022-01-10 23:38:07.425000+01:00
300,17.7,2022-01-10 23:52:27.554000+01:00
301,17.7,2022-01-11 00:08:54.977000+01:00
