,2OfficeDoor,timestamp
144,PRESENT,2022-01-26 10:53:50.978000+01:00
145,NOT_PRESENT,2022-01-26 10:53:52.596000+01:00
146,PRESENT,2022-01-26 10:54:06.017000+01:00
147,NOT_PRESENT,2022-01-26 11:16:24.227000+01:00
148,PRESENT,2022-01-26 18:48:22.973000+01:00
149,NOT_PRESENT,2022-01-26 19:03:51.808000+01:00
150,PRESENT,2022-01-27 01:42:00.136000+01:00
151,NOT_PRESENT,2022-01-27 08:06:08.278000+01:00
152,PRESENT,2022-01-27 10:42:54.613000+01:00
153,NOT_PRESENT,2022-01-27 10:43:08.604000+01:00
154,PRESENT,2022-01-28 18:35:45.737000+01:00
155,NOT_PRESENT,2022-01-28 20:58:20.865000+01:00
156,PRESENT,2022-01-28 20:58:30.237000+01:00
157,NOT_PRESENT,2022-01-28 21:20:33.082000+01:00
158,PRESENT,2022-01-28 23:20:46.611000+01:00
159,NOT_PRESENT,2022-01-29 09:52:45.221000+01:00
160,PRESENT,2022-01-29 13:50:55.743000+01:00
161,NOT_PRESENT,2022-01-29 19:26:55.151000+01:00
162,PRESENT,2022-01-29 22:51:28.248000+01:00
163,NOT_PRESENT,2022-01-30 11:16:45.619000+01:00
164,PRESENT,2022-01-30 11:16:56.962000+01:00
165,NOT_PRESENT,2022-01-30 12:23:07.689000+01:00
166,PRESENT,2022-01-30 12:43:25.786000+01:00
167,NOT_PRESENT,2022-01-30 13:11:58.442000+01:00
168,PRESENT,2022-01-30 13:32:03.897000+01:00
169,NOT_PRESENT,2022-01-30 13:35:58.666000+01:00
170,PRESENT,2022-01-30 13:36:10.025000+01:00
171,NOT_PRESENT,2022-01-30 13:36:11.649000+01:00
172,PRESENT,2022-01-31 08:36:07.439000+01:00
173,NOT_PRESENT,2022-01-31 10:45:52.503000+01:00
174,PRESENT,2022-01-31 15:53:34.545000+01:00
175,NOT_PRESENT,2022-01-31 16:25:42.852000+01:00
176,PRESENT,2022-01-31 18:48:03.078000+01:00
177,NOT_PRESENT,2022-01-31 20:18:30.361000+01:00
178,PRESENT,2022-02-01 01:19:32.564000+01:00
179,NOT_PRESENT,2022-02-01 08:04:57.122000+01:00
180,PRESENT,2022-02-01 09:59:28.536000+01:00
181,NOT_PRESENT,2022-02-01 10:00:50.646000+01:00
182,PRESENT,2022-02-01 10:01:02.698000+01:00
183,NOT_PRESENT,2022-02-01 10:35:11.083000+01:00
184,PRESENT,2022-02-01 10:35:14.648000+01:00
185,NOT_PRESENT,2022-02-01 12:25:40.631000+01:00
186,PRESENT,2022-02-01 12:25:50.603000+01:00
187,NOT_PRESENT,2022-02-01 12:40:00.996000+01:00
188,PRESENT,2022-02-01 21:04:11.004000+01:00
189,NOT_PRESENT,2022-02-02 07:31:54.238000+01:00
190,PRESENT,2022-02-02 07:32:00.425000+01:00
191,NOT_PRESENT,2022-02-02 09:57:27.015000+01:00
192,PRESENT,2022-02-02 09:57:33.758000+01:00
193,NOT_PRESENT,2022-02-02 11:08:40.264000+01:00
194,PRESENT,2022-02-02 15:34:11.182000+01:00
195,NOT_PRESENT,2022-02-02 15:34:30.037000+01:00
196,PRESENT,2022-02-02 15:40:39.668000+01:00
197,NOT_PRESENT,2022-02-02 16:04:32.671000+01:00
198,PRESENT,2022-02-02 16:04:37.499000+01:00
199,NOT_PRESENT,2022-02-02 18:22:25.574000+01:00
200,PRESENT,2022-02-03 09:13:41.318000+01:00
201,NOT_PRESENT,2022-02-03 09:20:40.885000+01:00
202,PRESENT,2022-02-03 09:20:49.070000+01:00
203,NOT_PRESENT,2022-02-03 09:55:38.819000+01:00
204,PRESENT,2022-02-03 09:55:43.725000+01:00
205,NOT_PRESENT,2022-02-03 10:00:40.280000+01:00
206,PRESENT,2022-02-03 10:15:05.863000+01:00
207,NOT_PRESENT,2022-02-03 10:15:22.030000+01:00
208,PRESENT,2022-02-03 10:24:54.904000+01:00
209,NOT_PRESENT,2022-02-03 11:07:11.040000+01:00
210,PRESENT,2022-02-03 13:56:13.288000+01:00
211,NOT_PRESENT,2022-02-03 13:59:03.898000+01:00
212,PRESENT,2022-02-03 15:30:55.350000+01:00
213,NOT_PRESENT,2022-02-04 10:21:34.661000+01:00
214,PRESENT,2022-02-04 13:31:45.389000+01:00
215,NOT_PRESENT,2022-02-04 13:32:21.804000+01:00
216,PRESENT,2022-02-05 12:06:36.084000+01:00
217,NOT_PRESENT,2022-02-05 20:06:21.293000+01:00
218,PRESENT,2022-02-06 11:02:11.844000+01:00
219,NOT_PRESENT,2022-02-06 11:43:16.557000+01:00
220,PRESENT,2022-02-06 11:50:33.088000+01:00
221,NOT_PRESENT,2022-02-06 14:13:05.806000+01:00
222,PRESENT,2022-02-06 19:13:26.896000+01:00
223,NOT_PRESENT,2022-02-07 05:17:01.026000+01:00
224,PRESENT,2022-02-07 05:18:10.642000+01:00
225,NOT_PRESENT,2022-02-07 10:59:56.098000+01:00
226,PRESENT,2022-02-07 11:04:21.306000+01:00
227,NOT_PRESENT,2022-02-07 12:34:38.939000+01:00
0,NOT_PRESENT,2022-02-08 08:52:58.301000+01:00
1,PRESENT,2022-02-08 15:15:18.203000+01:00
2,NOT_PRESENT,2022-02-08 15:15:28.682000+01:00
0,PRESENT,2022-02-08 21:00:25.554000+01:00
1,NOT_PRESENT,2022-02-09 00:11:50.202000+01:00
2,PRESENT,2022-02-09 10:58:41.007000+01:00
3,NOT_PRESENT,2022-02-09 18:24:09.894000+01:00
0,PRESENT,2022-02-09 23:43:05.712000+01:00
1,NOT_PRESENT,2022-02-10 00:09:12.977000+01:00
2,PRESENT,2022-02-10 14:06:24.442000+01:00
3,NOT_PRESENT,2022-02-10 14:09:32.435000+01:00
4,PRESENT,2022-02-10 14:09:48.455000+01:00
5,NOT_PRESENT,2022-02-10 14:27:43.049000+01:00
6,PRESENT,2022-02-10 14:31:24.313000+01:00
7,NOT_PRESENT,2022-02-10 14:31:50.761000+01:00
8,PRESENT,2022-02-10 14:32:48.984000+01:00
9,NOT_PRESENT,2022-02-10 14:34:42.576000+01:00
10,PRESENT,2022-02-10 14:46:04.278000+01:00
11,NOT_PRESENT,2022-02-10 14:50:14.328000+01:00
12,PRESENT,2022-02-10 19:04:48.714000+01:00
0,NOT_PRESENT,2022-02-10 20:49:25.984000+01:00
1,PRESENT,2022-02-10 20:51:56.493000+01:00
2,NOT_PRESENT,2022-02-10 21:02:58.942000+01:00
3,PRESENT,2022-02-10 21:55:21.299000+01:00
4,NOT_PRESENT,2022-02-10 22:07:05.393000+01:00
5,PRESENT,2022-02-11 09:03:03.801000+01:00
6,NOT_PRESENT,2022-02-11 09:10:17.218000+01:00
7,PRESENT,2022-02-11 09:15:22.483000+01:00
8,NOT_PRESENT,2022-02-11 09:32:11.062000+01:00
9,PRESENT,2022-02-11 11:36:47.083000+01:00
10,NOT_PRESENT,2022-02-11 12:05:20.217000+01:00
0,PRESENT,2022-02-12 10:51:12.191000+01:00
1,NOT_PRESENT,2022-02-12 10:55:32.686000+01:00
2,PRESENT,2022-02-12 10:55:37.478000+01:00
