,2Fireplace,timestamp
325,25.85,2022-01-11 11:38:00.633000+01:00
326,25.2,2022-01-11 11:53:50.475000+01:00
327,25.35,2022-01-11 12:09:41.492000+01:00
328,26.15,2022-01-11 12:25:30.519000+01:00
329,27.0,2022-01-11 12:41:17.267000+01:00
330,29.4,2022-01-11 12:56:58.657000+01:00
331,31.75,2022-01-11 13:12:32.686000+01:00
332,32.55,2022-01-11 13:28:01.853000+01:00
333,32.0,2022-01-11 13:43:31.146000+01:00
334,31.35,2022-01-11 13:59:02.746000+01:00
335,30.6,2022-01-11 14:14:36.247000+01:00
336,29.9,2022-01-11 14:30:11.814000+01:00
337,29.4,2022-01-11 14:45:49.353000+01:00
338,28.5,2022-01-11 15:01:29.100000+01:00
339,27.55,2022-01-11 15:17:12.138000+01:00
340,27.25,2022-01-11 15:32:56.677000+01:00
341,27.45,2022-01-11 15:48:41.243000+01:00
342,28.8,2022-01-11 16:04:22.393000+01:00
343,30.5,2022-01-11 16:19:59.480000+01:00
344,30.95,2022-01-11 16:35:32.892000+01:00
345,30.55,2022-01-11 16:51:06.613000+01:00
346,29.85,2022-01-11 17:06:42.466000+01:00
347,29.3,2022-01-11 17:22:20.526000+01:00
348,28.6,2022-01-11 17:38:00.566000+01:00
349,27.9,2022-01-11 17:53:42.847000+01:00
350,27.4,2022-01-11 18:09:26.405000+01:00
351,26.95,2022-01-11 18:25:11.460000+01:00
352,26.45,2022-01-11 18:40:57.963000+01:00
353,26.0,2022-01-11 18:56:45.745000+01:00
354,25.5,2022-01-11 19:12:35.055000+01:00
355,25.2,2022-01-11 19:28:25.556000+01:00
356,24.9,2022-01-11 19:44:17.082000+01:00
357,24.45,2022-01-11 20:00:09.677000+01:00
358,23.95,2022-01-11 20:16:03.316000+01:00
359,23.6,2022-01-11 20:31:58.137000+01:00
360,23.4,2022-01-11 20:47:53.959000+01:00
361,23.1,2022-01-11 21:03:50.520000+01:00
362,23.05,2022-01-11 21:19:47.512000+01:00
363,22.9,2022-01-11 21:35:44.967000+01:00
364,22.65,2022-01-11 21:51:42.599000+01:00
365,22.5,2022-01-11 22:07:40.992000+01:00
366,22.35,2022-01-11 22:23:39.992000+01:00
367,22.2,2022-01-11 22:39:39.432000+01:00
368,21.95,2022-01-11 22:55:39.453000+01:00
369,21.9,2022-01-11 23:11:39.675000+01:00
370,21.65,2022-01-11 23:27:40.343000+01:00
371,21.6,2022-01-11 23:43:41.231000+01:00
372,21.5,2022-01-11 23:59:42.584000+01:00
373,21.35,2022-01-12 00:15:44.242000+01:00
374,21.25,2022-01-12 00:31:46.146000+01:00
375,21.1,2022-01-12 00:47:48.323000+01:00
376,20.95,2022-01-12 01:03:50.919000+01:00
377,20.8,2022-01-12 01:19:53.909000+01:00
378,20.65,2022-01-12 01:35:57.233000+01:00
379,20.5,2022-01-12 01:52:01.027000+01:00
380,20.45,2022-01-12 02:08:05.039000+01:00
381,20.35,2022-01-12 02:24:09.406000+01:00
382,20.15,2022-01-12 02:40:14.251000+01:00
383,20.15,2022-01-12 02:56:19.245000+01:00
384,20.0,2022-01-12 03:12:24.662000+01:00
385,19.9,2022-01-12 03:28:31.720000+01:00
386,19.85,2022-01-12 03:44:37.647000+01:00
387,19.75,2022-01-12 04:00:43.895000+01:00
388,19.6,2022-01-12 04:16:50.430000+01:00
389,19.6,2022-01-12 04:32:56.931000+01:00
390,19.45,2022-01-12 04:49:03.733000+01:00
391,19.4,2022-01-12 05:05:10.811000+01:00
392,19.3,2022-01-12 05:21:18.085000+01:00
393,19.2,2022-01-12 05:37:25.733000+01:00
394,19.15,2022-01-12 05:53:33.707000+01:00
395,19.05,2022-01-12 06:09:41.977000+01:00
396,19.0,2022-01-12 06:25:50.311000+01:00
397,19.0,2022-01-12 06:41:58.820000+01:00
398,19.05,2022-01-12 06:58:07.229000+01:00
399,19.05,2022-01-12 07:14:15.294000+01:00
400,19.9,2022-01-12 07:30:20.606000+01:00
401,20.25,2022-01-12 07:46:25.900000+01:00
402,20.5,2022-01-12 08:02:30.160000+01:00
403,20.6,2022-01-12 08:18:34.029000+01:00
404,20.85,2022-01-12 08:34:37.231000+01:00
405,21.0,2022-01-12 08:50:39.656000+01:00
406,21.15,2022-01-12 09:06:41.796000+01:00
407,21.4,2022-01-12 09:22:43.513000+01:00
408,21.05,2022-01-12 09:38:45.413000+01:00
409,20.85,2022-01-12 09:54:48.102000+01:00
410,20.7,2022-01-12 10:10:51.260000+01:00
411,20.7,2022-01-12 10:26:54.647000+01:00
412,20.6,2022-01-12 10:42:58.220000+01:00
413,20.65,2022-01-12 10:59:01.722000+01:00
414,20.45,2022-01-12 11:15:05.485000+01:00
415,20.45,2022-01-12 11:31:09.674000+01:00
416,20.4,2022-01-12 11:47:13.850000+01:00
417,20.35,2022-01-12 12:03:18.037000+01:00
418,20.4,2022-01-12 12:19:22.602000+01:00
419,20.25,2022-01-12 12:35:27.391000+01:00
420,20.25,2022-01-12 12:51:32.388000+01:00
421,20.2,2022-01-12 13:07:37.336000+01:00
422,20.15,2022-01-12 13:23:42.774000+01:00
423,20.15,2022-01-12 13:39:46.971000+01:00
424,20.2,2022-01-12 13:55:52.529000+01:00
425,20.15,2022-01-12 14:11:57.160000+01:00
426,20.15,2022-01-12 14:28:02.296000+01:00
427,20.15,2022-01-12 14:44:07.387000+01:00
428,20.2,2022-01-12 15:00:12.545000+01:00
429,20.25,2022-01-12 15:16:17.729000+01:00
430,20.2,2022-01-12 15:32:22.870000+01:00
431,20.2,2022-01-12 15:48:27.977000+01:00
432,20.15,2022-01-12 16:04:33.087000+01:00
433,20.2,2022-01-12 16:20:38.213000+01:00
434,21.25,2022-01-12 16:36:42.010000+01:00
435,22.0,2022-01-12 16:52:42.943000+01:00
436,22.5,2022-01-12 17:08:41.964000+01:00
437,22.0,2022-01-12 17:24:40.306000+01:00
438,21.85,2022-01-12 17:40:40.816000+01:00
439,21.65,2022-01-12 17:56:40.365000+01:00
440,21.55,2022-01-12 18:12:41.247000+01:00
441,21.5,2022-01-12 18:28:42.372000+01:00
442,21.35,2022-01-12 18:44:44.152000+01:00
443,21.25,2022-01-12 19:00:45.916000+01:00
444,21.15,2022-01-12 19:16:47.846000+01:00
445,21.05,2022-01-12 19:32:50.059000+01:00
446,21.0,2022-01-12 19:48:52.565000+01:00
447,20.95,2022-01-12 20:04:57.521000+01:00
448,20.85,2022-01-12 20:21:00.020000+01:00
449,20.7,2022-01-12 20:37:00.545000+01:00
450,20.65,2022-01-12 20:53:03.932000+01:00
451,20.6,2022-01-12 21:09:07.451000+01:00
452,20.55,2022-01-12 21:25:13.700000+01:00
453,20.5,2022-01-12 21:41:16.164000+01:00
454,20.5,2022-01-12 21:57:18.827000+01:00
455,20.5,2022-01-12 22:13:23.336000+01:00
456,20.4,2022-01-12 22:29:27.030000+01:00
457,20.4,2022-01-12 22:45:31.377000+01:00
458,20.25,2022-01-12 23:01:35.881000+01:00
459,20.2,2022-01-12 23:17:42.873000+01:00
460,20.15,2022-01-12 23:33:45.728000+01:00
461,20.1,2022-01-12 23:49:50.676000+01:00
462,20.05,2022-01-13 00:05:54.953000+01:00
463,20.05,2022-01-13 00:21:59.926000+01:00
464,19.95,2022-01-13 00:38:04.956000+01:00
465,19.95,2022-01-13 00:54:10.164000+01:00
466,19.9,2022-01-13 01:10:15.555000+01:00
467,19.85,2022-01-13 01:26:22.112000+01:00
468,19.8,2022-01-13 01:42:26.803000+01:00
469,19.75,2022-01-13 01:58:31.746000+01:00
470,19.75,2022-01-13 02:14:37.844000+01:00
471,19.65,2022-01-13 02:30:44.138000+01:00
472,19.7,2022-01-13 02:46:50.411000+01:00
473,19.7,2022-01-13 03:02:57.519000+01:00
474,19.6,2022-01-13 03:19:05.240000+01:00
475,19.6,2022-01-13 03:35:08.559000+01:00
476,19.6,2022-01-13 03:51:18.201000+01:00
477,19.6,2022-01-13 04:07:20.747000+01:00
478,19.6,2022-01-13 04:23:26.870000+01:00
479,19.65,2022-01-13 04:39:33.187000+01:00
480,19.6,2022-01-13 04:55:39.507000+01:00
481,19.55,2022-01-13 05:11:45.862000+01:00
482,19.55,2022-01-13 05:27:52.312000+01:00
483,19.55,2022-01-13 05:43:58.712000+01:00
484,19.6,2022-01-13 06:00:05.044000+01:00
485,19.55,2022-01-13 06:16:11.369000+01:00
486,19.55,2022-01-13 06:32:18.947000+01:00
487,19.5,2022-01-13 06:48:23.961000+01:00
488,19.55,2022-01-13 07:04:33.373000+01:00
489,19.6,2022-01-13 07:20:35.888000+01:00
490,19.75,2022-01-13 07:36:41.805000+01:00
491,19.75,2022-01-13 07:52:47.693000+01:00
492,19.85,2022-01-13 08:08:53.401000+01:00
493,20.9,2022-01-13 08:24:58.099000+01:00
