,1MainDoor,timestamp
217,PRESENT,2022-01-21 07:47:49.939000+01:00
218,NOT_PRESENT,2022-01-21 07:48:45.003000+01:00
219,PRESENT,2022-01-21 07:48:55.702000+01:00
220,NOT_PRESENT,2022-01-21 08:08:13.801000+01:00
221,PRESENT,2022-01-21 08:08:17.766000+01:00
222,NOT_PRESENT,2022-01-21 08:08:26.881000+01:00
223,PRESENT,2022-01-21 08:08:32.866000+01:00
224,NOT_PRESENT,2022-01-21 08:27:10.259000+01:00
225,PRESENT,2022-01-21 08:27:15.326000+01:00
226,NOT_PRESENT,2022-01-21 08:28:25.825000+01:00
227,PRESENT,2022-01-21 08:28:31.806000+01:00
228,NOT_PRESENT,2022-01-21 15:09:07.299000+01:00
229,PRESENT,2022-01-21 15:09:10.094000+01:00
230,NOT_PRESENT,2022-01-21 15:10:38.163000+01:00
231,PRESENT,2022-01-21 15:10:41.880000+01:00
232,NOT_PRESENT,2022-01-21 15:11:35.460000+01:00
233,PRESENT,2022-01-21 15:11:47.145000+01:00
234,NOT_PRESENT,2022-01-21 15:29:19.023000+01:00
235,PRESENT,2022-01-21 15:29:23.411000+01:00
236,NOT_PRESENT,2022-01-21 18:03:21.375000+01:00
237,PRESENT,2022-01-21 18:05:01.204000+01:00
238,NOT_PRESENT,2022-01-22 10:16:55.337000+01:00
239,PRESENT,2022-01-22 10:17:28.263000+01:00
240,NOT_PRESENT,2022-01-22 10:22:53.606000+01:00
241,PRESENT,2022-01-22 10:22:58.656000+01:00
242,NOT_PRESENT,2022-01-22 10:24:20.901000+01:00
243,PRESENT,2022-01-22 10:24:25.288000+01:00
244,NOT_PRESENT,2022-01-22 10:26:33.188000+01:00
245,PRESENT,2022-01-22 10:26:38.245000+01:00
246,NOT_PRESENT,2022-01-22 20:04:43.159000+01:00
247,PRESENT,2022-01-22 20:04:46.932000+01:00
248,NOT_PRESENT,2022-01-23 12:20:38.659000+01:00
249,PRESENT,2022-01-23 12:20:42.368000+01:00
250,NOT_PRESENT,2022-01-23 13:14:14.689000+01:00
251,PRESENT,2022-01-23 13:14:22.415000+01:00
252,NOT_PRESENT,2022-01-23 13:14:56.247000+01:00
253,PRESENT,2022-01-23 13:15:04.636000+01:00
254,NOT_PRESENT,2022-01-23 13:15:07.430000+01:00
255,PRESENT,2022-01-23 13:15:09.430000+01:00
256,NOT_PRESENT,2022-01-23 13:17:02.790000+01:00
257,PRESENT,2022-01-23 13:20:35.192000+01:00
258,NOT_PRESENT,2022-01-23 13:26:06.203000+01:00
259,PRESENT,2022-01-23 13:26:13.253000+01:00
260,NOT_PRESENT,2022-01-23 17:22:42.542000+01:00
261,PRESENT,2022-01-23 17:22:48.353000+01:00
262,NOT_PRESENT,2022-01-24 07:50:13.212000+01:00
263,PRESENT,2022-01-24 07:50:19.600000+01:00
264,NOT_PRESENT,2022-01-24 08:06:47.884000+01:00
265,PRESENT,2022-01-24 08:06:58.951000+01:00
266,NOT_PRESENT,2022-01-24 08:07:39.519000+01:00
267,PRESENT,2022-01-24 08:07:42.962000+01:00
268,NOT_PRESENT,2022-01-24 08:18:06.492000+01:00
269,PRESENT,2022-01-24 08:18:10.862000+01:00
270,NOT_PRESENT,2022-01-24 14:55:31.056000+01:00
271,PRESENT,2022-01-24 14:55:40.128000+01:00
272,NOT_PRESENT,2022-01-24 15:12:31.093000+01:00
273,PRESENT,2022-01-24 15:12:35.037000+01:00
274,NOT_PRESENT,2022-01-24 16:17:44.745000+01:00
275,PRESENT,2022-01-24 16:17:49.792000+01:00
276,NOT_PRESENT,2022-01-24 16:24:29.425000+01:00
277,PRESENT,2022-01-24 16:24:37.293000+01:00
278,NOT_PRESENT,2022-01-24 16:34:29.735000+01:00
279,PRESENT,2022-01-24 16:35:15.871000+01:00
280,NOT_PRESENT,2022-01-25 07:47:49.093000+01:00
281,PRESENT,2022-01-25 07:48:26.587000+01:00
282,NOT_PRESENT,2022-01-25 08:06:54.499000+01:00
283,PRESENT,2022-01-25 08:06:58.893000+01:00
284,NOT_PRESENT,2022-01-25 10:24:47.907000+01:00
285,PRESENT,2022-01-25 10:24:57.022000+01:00
286,NOT_PRESENT,2022-01-25 15:05:29.658000+01:00
287,PRESENT,2022-01-25 15:05:51.164000+01:00
288,NOT_PRESENT,2022-01-25 15:07:34.929000+01:00
289,PRESENT,2022-01-25 15:07:39.565000+01:00
290,NOT_PRESENT,2022-01-25 15:12:53.269000+01:00
291,PRESENT,2022-01-25 15:13:08.273000+01:00
292,NOT_PRESENT,2022-01-25 15:18:26.486000+01:00
293,PRESENT,2022-01-25 15:18:32.905000+01:00
294,NOT_PRESENT,2022-01-25 15:52:07.526000+01:00
295,PRESENT,2022-01-25 15:52:11.227000+01:00
296,NOT_PRESENT,2022-01-25 16:08:06.778000+01:00
297,PRESENT,2022-01-25 16:08:30.545000+01:00
298,NOT_PRESENT,2022-01-25 16:08:41.231000+01:00
299,PRESENT,2022-01-25 16:08:46.867000+01:00
300,NOT_PRESENT,2022-01-25 17:42:49.034000+01:00
301,PRESENT,2022-01-25 17:43:02.453000+01:00
302,NOT_PRESENT,2022-01-26 07:10:00.695000+01:00
303,PRESENT,2022-01-26 07:10:05.112000+01:00
304,NOT_PRESENT,2022-01-26 08:02:04.039000+01:00
305,PRESENT,2022-01-26 08:03:03.216000+01:00
306,NOT_PRESENT,2022-01-26 09:08:17.454000+01:00
307,PRESENT,2022-01-26 09:08:22.544000+01:00
308,NOT_PRESENT,2022-01-26 13:51:08.855000+01:00
309,PRESENT,2022-01-26 13:51:16.628000+01:00
310,NOT_PRESENT,2022-01-26 15:58:06.763000+01:00
311,PRESENT,2022-01-26 15:58:10.383000+01:00
312,NOT_PRESENT,2022-01-26 16:11:21.974000+01:00
313,PRESENT,2022-01-26 16:11:28.399000+01:00
314,NOT_PRESENT,2022-01-26 16:13:19.485000+01:00
315,PRESENT,2022-01-26 16:13:46.829000+01:00
316,NOT_PRESENT,2022-01-26 16:13:52.572000+01:00
317,PRESENT,2022-01-26 16:14:01.124000+01:00
318,NOT_PRESENT,2022-01-27 07:42:45.190000+01:00
319,PRESENT,2022-01-27 07:43:46.038000+01:00
320,NOT_PRESENT,2022-01-27 07:54:48.071000+01:00
321,PRESENT,2022-01-27 07:54:57.437000+01:00
322,NOT_PRESENT,2022-01-27 14:07:18.001000+01:00
323,PRESENT,2022-01-27 14:10:08.310000+01:00
324,NOT_PRESENT,2022-01-27 16:13:28.631000+01:00
325,PRESENT,2022-01-27 16:17:41.466000+01:00
326,NOT_PRESENT,2022-01-27 19:50:14.984000+01:00
327,PRESENT,2022-01-27 19:50:18.041000+01:00
328,NOT_PRESENT,2022-01-27 19:50:41.943000+01:00
329,PRESENT,2022-01-27 19:50:46.466000+01:00
330,NOT_PRESENT,2022-01-28 14:38:54.610000+01:00
331,PRESENT,2022-01-28 14:38:59.243000+01:00
332,NOT_PRESENT,2022-01-28 14:40:27.942000+01:00
333,PRESENT,2022-01-28 14:40:32.332000+01:00
334,NOT_PRESENT,2022-01-28 14:42:13.431000+01:00
335,PRESENT,2022-01-28 14:42:24.693000+01:00
336,NOT_PRESENT,2022-01-28 14:42:49.296000+01:00
337,PRESENT,2022-01-28 14:42:59.078000+01:00
338,NOT_PRESENT,2022-01-28 17:53:29.320000+01:00
339,PRESENT,2022-01-28 17:54:56.966000+01:00
340,NOT_PRESENT,2022-01-29 16:55:57.811000+01:00
341,PRESENT,2022-01-29 16:56:04.862000+01:00
342,NOT_PRESENT,2022-01-29 17:33:20.141000+01:00
343,PRESENT,2022-01-29 17:33:25.846000+01:00
344,NOT_PRESENT,2022-01-30 10:36:35.233000+01:00
345,PRESENT,2022-01-30 10:36:46.587000+01:00
346,NOT_PRESENT,2022-01-30 10:39:30.755000+01:00
347,PRESENT,2022-01-30 10:39:41.866000+01:00
348,NOT_PRESENT,2022-01-30 10:42:47.640000+01:00
349,PRESENT,2022-01-30 10:43:01.266000+01:00
350,NOT_PRESENT,2022-01-30 10:47:49.308000+01:00
351,PRESENT,2022-01-30 10:47:57.963000+01:00
352,NOT_PRESENT,2022-01-30 17:14:49.412000+01:00
353,PRESENT,2022-01-30 17:15:06.066000+01:00
354,NOT_PRESENT,2022-01-30 18:12:49.219000+01:00
355,PRESENT,2022-01-30 18:12:58.982000+01:00
356,NOT_PRESENT,2022-01-31 08:07:59.272000+01:00
357,PRESENT,2022-01-31 08:08:04.987000+01:00
358,NOT_PRESENT,2022-01-31 08:40:35.627000+01:00
359,PRESENT,2022-01-31 08:40:41.104000+01:00
360,NOT_PRESENT,2022-01-31 08:44:11.315000+01:00
361,PRESENT,2022-01-31 08:44:41.753000+01:00
362,NOT_PRESENT,2022-01-31 13:55:13.155000+01:00
363,PRESENT,2022-01-31 13:55:21.342000+01:00
364,NOT_PRESENT,2022-01-31 13:56:46.412000+01:00
365,PRESENT,2022-01-31 13:56:52.564000+01:00
366,NOT_PRESENT,2022-01-31 13:57:36.764000+01:00
367,PRESENT,2022-01-31 13:57:39.795000+01:00
368,NOT_PRESENT,2022-01-31 13:58:04.927000+01:00
369,PRESENT,2022-01-31 13:58:09.297000+01:00
370,NOT_PRESENT,2022-02-01 08:07:18.401000+01:00
371,PRESENT,2022-02-01 08:07:22.535000+01:00
372,NOT_PRESENT,2022-02-01 08:09:20.301000+01:00
373,PRESENT,2022-02-01 08:09:30.535000+01:00
374,NOT_PRESENT,2022-02-01 08:52:34.929000+01:00
375,PRESENT,2022-02-01 08:52:37.731000+01:00
376,NOT_PRESENT,2022-02-01 08:53:16.874000+01:00
377,PRESENT,2022-02-01 08:53:21.245000+01:00
378,NOT_PRESENT,2022-02-01 09:04:05.689000+01:00
379,PRESENT,2022-02-01 09:04:51.483000+01:00
380,NOT_PRESENT,2022-02-01 10:41:02.976000+01:00
381,PRESENT,2022-02-01 10:41:06.443000+01:00
382,NOT_PRESENT,2022-02-01 10:43:34.668000+01:00
383,PRESENT,2022-02-01 10:43:39.481000+01:00
