"WindPower";"PVPower"
"R854";185.557;48.452
"R855";259.669;15.376
"R856";326.984;0
"R857";357.706;0
"R858";339.669;0
"R859";355.513;0
"R860";335.719;0
"R861";319.878;0
"R862";300.878;0
"R863";328.535;0
"R864";402.997;0
"R865";533.39;0
"R866";485.925;0
"R867";437.014;0
"R868";891.815;0
"R869";1075.149;0
"R870";1176.697;0
"R871";1272.204;0
"R872";1244.913;0
"R873";1242.406;0
"R874";1160.71;3.006
"R875";1004.045;7.557
"R876";927.063;21.98
"R877";710.058;19.067
"R878";649.13;11.06
"R879";584.773;3.786
"R880";539.281;0
"R881";430.334;0
"R882";276.211;0
"R883";253.75;0
"R884";258.63;0
"R885";273.648;0
"R886";357.778;0
"R887";488.443;0
"R888";582.516;0
"R889";844.585;0
"R890";1276.522;0
"R891";1353.942;0
"R892";1403.389;0
"R893";1307.623;0
"R894";1253.931;0
"R895";1202.588;0
"R896";1134.689;0
"R897";1075.147;3.374
"R898";1078.544;4.807
"R899";1093.683;6.251
"R900";1136.909;5.373
"R901";1182.544;2.487
"R902";1149.133;0.127
"R903";1050.689;0
"R904";959.342;0
"R905";968.448;0
"R906";1171.23;0
"R907";1254.612;0
"R908";1285.586;0
"R909";1336.364;0
"R910";1389.488;0
"R911";1406.681;0
"R912";1406.189;0
"R913";1413.233;0
"R914";1400.669;0
"R915";1336.321;0
"R916";1276.889;0
"R917";1295.405;0
"R918";1322.036;0
"R919";1395.802;0
"R920";1491.757;0
"R921";1513.096;2.055
"R922";1467.632;16.567
"R923";1307.874;19.626
"R924";1050.615;14.156
"R925";806.674;28.25
"R926";632.575;12.89
"R927";524.415;1.167
"R928";529.119;0
"R929";587.642;0
"R930";628.676;0
"R931";697.948;0
"R932";656.578;0
"R933";644.614;0
"R934";741.353;0
"R935";680.334;0
"R936";640.104;0
"R937";586.187;0
"R938";497.366;0
"R939";462.464;0
"R940";395.869;0
"R941";426.996;0
"R942";310.624;0
"R943";224.668;0
