"Year";"IsDayBin";"Month";"WindSpeed";"IrrDirect";"IrrDiffuse";"Temperature";"Percipitation";"SnowFlow";"SnowMass";"AirDensity";"RadSurface";"RadTop";"CloudCover"
"R14143";2017;Day;8;5.421;0.107;0.119;13.094;0.105;0;0;1.187;199.658;498.807;0.622
"R14144";2017;Day;8;5.525;0.216;0.166;14.233;0.092;0;0;1.184;316.904;648.994;0.429
"R14145";2017;Day;8;5.396;0.272;0.198;15.46;0.05;0;0;1.179;403.379;775.363;0.442
"R14146";2017;Day;8;5.509;0.299;0.223;16.562;0.055;0;0;1.175;466.948;869.268;0.695
"R14147";2017;Day;8;5.746;0.258;0.246;17.331;0.079;0;0;1.172;477.007;924.16;0.77
"R14148";2017;Day;8;5.972;0.178;0.257;17.638;0.101;0;0;1.169;434.655;936.377;0.92
"R14149";2017;Day;8;6.214;0.165;0.248;17.706;0.13;0;0;1.168;412.081;905.14;0.766
"R14150";2017;Day;8;6.429;0.211;0.226;17.694;0.164;0;0;1.167;411.338;832.397;0.669
"R14151";2017;Day;8;6.367;0.158;0.19;17.376;0.199;0;0;1.167;326.36;723.116;0.649
"R14152";2017;Day;8;6.361;0.184;0.151;17.065;0.201;0;0;1.167;279.661;584.622;0.491
"R14153";2017;Day;8;6.023;0.142;0.104;16.513;0.276;0;0;1.168;188.753;426.686;0.33
"R14154";2017;Day;8;5.849;0.152;0.062;15.746;0.246;0;0;1.17;120.165;259.73;0.229
"R14155";2017;Day;8;6.055;0.043;0.018;14.649;0.245;0;0;1.173;31.711;95.202;0.307
"R14156";2017;Day;8;5.756;0;0;13.579;0.277;0;0;1.175;0.13;1.032;0.381
"R14157";2017;Night;8;4.907;0;0;13.382;0.366;0;0;1.176;0;0;0.436
"R14158";2017;Night;8;4.178;0;0;12.792;0.562;0;0;1.177;0;0;0.53
"R14159";2017;Night;8;4.52;0;0;12.739;0.784;0;0;1.178;0;0;0.643
"R14160";2017;Night;8;5.39;0;0;12.351;0.967;0;0;1.182;0;0;0.732
"R14161";2017;Night;8;7.897;0;0;11.266;0.976;0;0;1.189;0;0;0.791
"R14162";2017;Night;8;8.489;0;0;10.245;1.226;0;0;1.197;0;0;0.837
"R14163";2017;Night;8;9.24;0;0;9.088;1.278;0;0;1.203;0;0;0.772
"R14164";2017;Day;8;9.157;0.002;0.001;8.294;1.101;0;0;1.208;2.443;21.363;0.713
"R14165";2017;Day;8;8.05;0.027;0.023;8.121;0.652;0;0;1.21;38.132;162.64;0.612
"R14166";2017;Day;8;6.574;0.128;0.07;8.677;0.197;0;0;1.21;129.331;329.232;0.407
"R14167";2017;Day;8;5.871;0.413;0.1;9.85;0.013;0;0;1.207;277.569;493.449;0.231
"R14168";2017;Day;8;5.701;0.72;0.093;11.578;0.001;0;0;1.202;453.123;643.956;0.037
"R14169";2017;Day;8;5.392;0.83;0.09;13.446;0;0;0;1.197;584.064;770.567;0.005
"R14170";2017;Day;8;4.916;0.855;0.092;14.811;0;0;0;1.193;667.706;864.518;0.003
"R14171";2017;Day;8;4.663;0.863;0.094;15.845;0;0;0;1.19;716.448;919.615;0.004
"R14172";2017;Day;8;4.71;0.859;0.095;16.624;0;0;0;1.187;725.962;931.803;0.012
"R14173";2017;Day;8;5.071;0.818;0.1;17.072;0;0;0;1.184;684.437;900.433;0.042
"R14174";2017;Day;8;5.468;0.753;0.106;17.205;0.001;0;0;1.182;604.094;827.478;0.089
"R14175";2017;Day;8;5.671;0.64;0.111;17.032;0.001;0;0;1.181;485.61;718.116;0.103
"R14176";2017;Day;8;5.557;0.581;0.099;16.712;0.001;0;0;1.181;378.587;579.372;0.1
"R14177";2017;Day;8;5.23;0.482;0.08;16.039;0.003;0;0;1.182;257.448;421.102;0.097
"R14178";2017;Day;8;5.621;0.328;0.054;14.712;0.011;0;0;1.184;137.98;253.884;0.091
"R14179";2017;Day;8;6.383;0.118;0.019;12.231;0.006;0;0;1.187;37.219;89.079;0.075
"R14180";2017;Day;8;7.022;0;0;10.462;0;0;0;1.191;0.091;0.474;0.051
"R14181";2017;Night;8;7.299;0;0;9.686;0;0;0;1.195;0;0;0.033
"R14182";2017;Night;8;7.203;0;0;8.875;0;0;0;1.2;0;0;0.021
"R14183";2017;Night;8;6.901;0;0;8.125;0.001;0;0;1.205;0;0;0.015
"R14184";2017;Night;8;6.632;0;0;7.445;0.002;0;0;1.21;0;0;0.012
"R14185";2017;Night;8;6.364;0;0;6.767;0.003;0;0;1.214;0;0;0.01
"R14186";2017;Night;8;6.127;0;0;6.216;0.002;0;0;1.217;0;0;0.011
"R14187";2017;Night;8;5.891;0;0;5.708;0.003;0;0;1.221;0;0;0.011
"R14188";2017;Day;8;5.623;0.034;0.003;5.413;0.003;0;0;1.223;6.276;18.203;0.01
"R14189";2017;Day;8;5.344;0.373;0.031;7.034;0.002;0;0;1.224;82.851;156.597;0.01
"R14190";2017;Day;8;3.693;0.605;0.054;9.313;0.001;0;0;1.223;206.367;323.5;0.009
"R14191";2017;Day;8;3.316;0.729;0.07;11.517;0.001;0;0;1.215;340.499;487.972;0.047
"R14192";2017;Day;8;3.065;0.789;0.082;13.247;0.001;0;0;1.21;466.729;638.706;0.34
"R14193";2017;Day;8;3.311;0.798;0.092;14.487;0;0;0;1.206;563.846;765.575;0.317
"R14194";2017;Day;8;3.713;0.841;0.092;15.483;0;0;0;1.203;655.361;859.768;0.043
"R14195";2017;Day;8;4.031;0.852;0.093;16.255;0;0;0;1.2;704.388;914.865;0.008
"R14196";2017;Day;8;4.304;0.857;0.093;16.804;0;0;0;1.197;718.062;927.089;0.012
"R14197";2017;Day;8;4.645;0.833;0.094;17.083;0;0;0;1.196;683.865;895.683;0.005
"R14198";2017;Day;8;4.918;0.818;0.092;17.141;0.001;0;0;1.194;623.894;822.655;0.007
"R14199";2017;Day;8;5.139;0.763;0.091;16.925;0.002;0;0;1.194;522.895;712.909;0.104
"R14200";2017;Day;8;5.352;0.621;0.09;16.397;0.002;0;0;1.194;381.813;574.122;0.125
"R14201";2017;Day;8;5.521;0.539;0.074;15.633;0.003;0;0;1.195;264.119;415.495;0.306
"R14202";2017;Day;8;6.032;0.241;0.054;14.29;0.003;0;0;1.198;122.253;247.956;0.79
"R14203";2017;Day;8;6.744;0.017;0.011;12.766;0;0;0;1.202;18.115;82.901;0.987
"R14204";2017;Night;8;6.703;0;0;11.967;0;0;0;1.206;0.01;0.16;0.988
"R14205";2017;Night;8;6.31;0;0;11.52;0.002;0;0;1.208;0;0;0.942
"R14206";2017;Night;8;6.005;0;0;10.884;0.003;0;0;1.209;0;0;0.697
"R14207";2017;Night;8;6.204;0;0;10.238;0.007;0;0;1.211;0;0;0.448
"R14208";2017;Night;8;6.48;0;0;9.947;0.014;0;0;1.211;0;0;0.774
"R14209";2017;Night;8;6.433;0;0;9.711;0.02;0;0;1.212;0;0;0.911
"R14210";2017;Night;8;6.412;0;0;9.327;0.018;0;0;1.212;0;0;0.75
"R14211";2017;Night;8;6.189;0;0;8.982;0.016;0;0;1.212;0;0;0.409
"R14212";2017;Day;8;5.904;0.008;0.002;8.988;0.017;0;0;1.212;4.196;15.269;0.457
"R14213";2017;Day;8;5.48;0.115;0.034;10.39;0.021;0;0;1.212;63.602;150.474;0.456
"R14214";2017;Day;8;4.383;0.136;0.077;12.204;0.02;0;0;1.21;140.36;317.629;0.819
"R14215";2017;Day;8;4.753;0.14;0.122;13.357;0.036;0;0;1.206;214.768;482.369;0.965
"R14216";2017;Day;8;5.606;0.19;0.17;14.275;0.069;0;0;1.203;308.995;633.456;0.956
"R14217";2017;Day;8;6.087;0.211;0.212;14.986;0.1;0;0;1.2;385.672;760.398;0.942
"R14218";2017;Day;8;6.419;0.101;0.236;15.215;0.152;0;0;1.198;353.429;854.804;0.97
"R14219";2017;Day;8;6.763;0.063;0.235;15.397;0.082;0;0;1.197;326.426;909.946;0.867
"R14220";2017;Day;8;7.241;0.178;0.273;16.18;0.086;0;0;1.194;452.749;922.339;0.56
"R14221";2017;Day;8;7.337;0.153;0.264;16.296;0.227;0;0;1.193;423.194;890.721;0.763
"R14222";2017;Day;8;6.841;0.024;0.172;15.455;0.278;0;0;1.194;226.783;817.655;0.978
"R14223";2017;Day;8;6.342;0.004;0.079;14.523;0.363;0;0;1.196;103.688;707.695;0.995
"R14224";2017;Day;8;6.343;0.002;0.038;13.867;0.468;0;0;1.197;51.641;568.63;0.998
"R14225";2017;Day;8;6.013;0.001;0.016;13.434;0.508;0;0;1.198;23.074;409.829;0.998
"R14226";2017;Day;8;6.561;0.001;0.007;13.299;0.601;0;0;1.197;10.803;241.948;0.996
"R14227";2017;Day;8;6.949;0;0.002;13.298;0.973;0;0;1.196;3.305;76.693;0.994
"R14228";2017;Night;8;7.192;0;0;13.422;1.429;0;0;1.195;0;0.023;0.993
"R14229";2017;Night;8;7.491;0;0;13.675;1.595;0;0;1.192;0;0;0.992
"R14230";2017;Night;8;7.494;0;0;13.892;2.66;0;0;1.19;0;0;0.992
"R14231";2017;Night;8;7.8;0;0;14.074;4.117;0;0;1.189;0;0;0.989
"R14232";2017;Night;8;7.725;0;0;14.088;3.05;0;0;1.188;0;0;0.984
"R14233";2017;Night;8;6.725;0;0;13.557;0.992;0;0;1.188;0;0;0.971
"R14234";2017;Night;8;6.358;0;0;13.086;0.271;0;0;1.188;0;0;0.974
"R14235";2017;Night;8;5.759;0;0;12.723;0.136;0;0;1.189;0;0;0.988
"R14236";2017;Day;8;6.007;0.002;0.001;12.403;0.079;0;0;1.191;1.744;12.564;0.898
"R14237";2017;Day;8;5.563;0.109;0.028;12.421;0.055;0;0;1.193;52.985;144.287;0.507
"R14238";2017;Day;8;4.855;0.384;0.063;13.137;0.043;0;0;1.194;169.406;311.754;0.295
"R14239";2017;Day;8;5;0.602;0.079;13.723;0.013;0;0;1.193;306.032;476.744;0.05
"R14240";2017;Day;8;5.024;0.739;0.087;14.606;0.008;0;0;1.191;444.473;628.037;0.013
"R14241";2017;Day;8;5.181;0.786;0.093;16.026;0.011;0;0;1.188;553.038;755.325;0.012
"R14242";2017;Day;8;5.553;0.814;0.096;17.567;0.009;0;0;1.184;635.668;849.812;0.05
"R14243";2017;Day;8;5.607;0.829;0.097;18.579;0.003;0;0;1.18;686.14;905.123;0.454
"R14244";2017;Day;8;5.399;0.82;0.099;19.228;0.001;0;0;1.178;692.661;917.384;0.417
"R14245";2017;Day;8;5.175;0.817;0.097;19.611;0;0;0;1.176;669.331;885.933;0.089
"R14246";2017;Day;8;5.062;0.789;0.098;19.688;0;0;0;1.175;605.646;812.486;0.084
"R14247";2017;Day;8;4.942;0.596;0.113;19.372;0.001;0;0;1.175;457.054;702.445;0.175
"R14248";2017;Day;8;5.083;0.516;0.102;19.189;0.001;0;0;1.175;348.157;563.13;0.122
"R14249";2017;Day;8;5.474;0.443;0.078;18.332;0;0;0;1.176;237.878;403.976;0.215
"R14250";2017;Day;8;6.056;0.288;0.05;16.703;0.001;0;0;1.18;122.16;235.886;0.434
"R14251";2017;Day;8;6.712;0.092;0.013;14.641;0;0;0;1.184;25.921;70.611;0.554
"R14252";2017;Night;8;6.732;0;0;13.295;0;0;0;1.189;0;0;0.709
"R14253";2017;Night;8;6.422;0;0;12.532;0.007;0;0;1.193;0;0;0.521
"R14254";2017;Night;8;6.484;0;0;11.716;0.015;0;0;1.196;0;0;0.161
"R14255";2017;Night;8;6.4;0;0;11.179;0.023;0;0;1.198;0;0;0.152
"R14256";2017;Night;8;6.203;0;0;10.729;0.026;0;0;1.2;0;0;0.673
"R14257";2017;Night;8;6.037;0;0;10.626;0.028;0;0;1.201;0;0;0.918
"R14258";2017;Night;8;6.012;0;0;10.629;0.029;0;0;1.202;0;0;0.932
"R14259";2017;Night;8;5.958;0;0;10.576;0.031;0;0;1.203;0;0;0.939
"R14260";2017;Day;8;5.961;0.005;0.001;10.161;0.032;0;0;1.204;2.489;10.107;0.874
"R14261";2017;Day;8;5.739;0.166;0.03;10.702;0.033;0;0;1.205;60.754;137.985;0.639
"R14262";2017;Day;8;4.908;0.447;0.064;12.25;0.024;0;0;1.205;182.308;305.754;0.391
"R14263";2017;Day;8;5.126;0.622;0.084;13.261;0.001;0;0;1.202;316.8;471.034;0.437
"R14264";2017;Day;8;5.393;0.71;0.098;14.372;0;0;0;1.199;444.26;622.537;0.543
"R14265";2017;Day;8;5.82;0.744;0.111;15.609;0;0;0;1.195;549.346;750.075;0.852
"R14266";2017;Day;8;6.174;0.642;0.145;16.552;0;0;0;1.191;582.936;844.804;0.933
"R14267";2017;Day;8;6.446;0.359;0.218;17.029;0;0;0;1.188;508.037;900.123;0.933
"R14268";2017;Day;8;6.468;0.139;0.246;16.991;0;0;0;1.186;391.953;912.42;0.956
"R14269";2017;Day;8;6.372;0.094;0.227;16.927;0.001;0;0;1.185;338.128;880.764;0.982
"R14270";2017;Day;8;6.4;0.168;0.223;17.221;0.001;0;0;1.184;379.003;807.441;0.984
"R14271";2017;Day;8;5.958;0.047;0.156;16.695;0.001;0;0;1.183;224.135;697.159;0.977
"R14272";2017;Day;8;5.869;0.009;0.071;15.678;0.004;0;0;1.184;97.947;557.622;0.981
"R14273";2017;Day;8;6.1;0.005;0.038;14.898;0.02;0;0;1.185;55.456;398.101;0.985
"R14274";2017;Day;8;6.322;0.003;0.018;14.175;0.066;0;0;1.185;27.622;229.707;0.988
"R14275";2017;Day;8;6.785;0.002;0.004;13.478;0.197;0;0;1.185;6.31;64.671;0.984
"R14276";2017;Night;8;7.062;0;0;13.042;0.407;0;0;1.185;0;0;0.981
"R14277";2017;Night;8;6.957;0;0;13.041;0.682;0;0;1.186;0;0;0.984
"R14278";2017;Night;8;6.801;0;0;13.115;0.98;0;0;1.187;0;0;0.987
"R14279";2017;Night;8;6.758;0;0;13.174;1.418;0;0;1.188;0;0;0.99
"R14280";2017;Night;8;6.59;0;0;13.112;1.382;0;0;1.189;0;0;0.989
"R14281";2017;Night;8;6.062;0;0;13.008;1.107;0;0;1.188;0;0;0.974
"R14282";2017;Night;8;5.725;0;0;12.93;0.768;0;0;1.188;0;0;0.881
"R14283";2017;Night;8;5.64;0;0;12.84;0.511;0;0;1.187;0;0;0.762
"R14284";2017;Day;8;5.838;0;0;12.807;0.396;0;0;1.186;0.605;7.906;0.635
"R14285";2017;Day;8;5.82;0.013;0.015;13.068;0.3;0;0;1.186;24.78;131.617;0.538
"R14286";2017;Day;8;5.032;0.047;0.056;13.727;0.223;0;0;1.185;91.761;299.65;0.475
"R14287";2017;Day;8;4.571;0.108;0.107;14.588;0.263;0;0;1.182;182.323;465.248;0.496
"R14288";2017;Day;8;4.981;0.186;0.151;15.338;0.255;0;0;1.179;281.1;617.037;0.314
"R14289";2017;Day;8;5.644;0.336;0.177;16.126;0.392;0;0;1.177;406.9;744.656;0.272
"R14290";2017;Day;8;6.254;0.376;0.19;16.992;0.418;0;0;1.174;469.862;839.562;0.149
"R14291";2017;Day;8;6.764;0.574;0.165;18.089;0.219;0;0;1.17;588.323;894.954;0.163
"R14292";2017;Day;8;7.183;0.536;0.173;18.747;0.098;0;0;1.168;578.367;907.382;0.213
"R14293";2017;Day;8;7.57;0.501;0.175;18.859;0.059;0;0;1.168;545.647;875.726;0.557
"R14294";2017;Day;8;7.774;0.486;0.164;18.743;0.024;0;0;1.168;497.488;802.191;0.879
"R14295";2017;Day;8;7.585;0.384;0.154;18.26;0.03;0;0;1.169;395.377;691.695;0.717
"R14296";2017;Day;8;7.376;0.37;0.123;17.707;0.031;0;0;1.17;312.942;551.88;0.269
"R14297";2017;Day;8;6.87;0.399;0.085;16.994;0.044;0;0;1.172;231.099;392.207;0.171
"R14298";2017;Day;8;6.405;0.207;0.051;15.922;0.043;0;0;1.175;109.285;223.466;0.502
"R14299";2017;Day;8;6.211;0.04;0.01;14.425;0.04;0;0;1.177;17.544;58.94;0.925
"R14300";2017;Night;8;6.543;0;0;13.596;0.07;0;0;1.179;0;0;0.948
"R14301";2017;Night;8;6.34;0;0;13.663;0.229;0;0;1.179;0;0;0.951
"R14302";2017;Night;8;6.291;0;0;13.602;0.396;0;0;1.179;0;0;0.959
"R14303";2017;Night;8;6.126;0;0;13.401;0.586;0;0;1.178;0;0;0.984
"R14304";2017;Night;8;5.98;0;0;13.338;0.584;0;0;1.178;0;0;0.988
"R14305";2017;Night;8;5.9;0;0;13.149;0.687;0;0;1.178;0;0;0.98
"R14306";2017;Night;8;5.795;0;0;12.967;0.66;0;0;1.178;0;0;0.98
"R14307";2017;Night;8;5.968;0;0;12.725;0.739;0;0;1.178;0;0;0.968
"R14308";2017;Day;8;6.107;0;0;12.693;0.651;0;0;1.179;0.361;5.957;0.942
"R14309";2017;Day;8;5.593;0.006;0.012;12.761;0.378;0;0;1.18;18.808;125.183;0.758
"R14310";2017;Day;8;4.85;0.053;0.064;13.503;0.454;0;0;1.18;104.045;293.525;0.502
"R14311";2017;Day;8;4.743;0.049;0.102;13.816;0.769;0;0;1.179;157.477;459.39;0.832
"R14312";2017;Day;8;4.689;0.016;0.103;13.702;1.311;0;0;1.18;142.957;611.5;0.951
"R14313";2017;Day;8;5.327;0.016;0.132;13.697;1.624;0;0;1.181;176.299;739.369;0.943
"R14314";2017;Day;8;5.872;0.029;0.183;13.444;1.089;0;0;1.182;243.958;834.312;0.905
"R14315";2017;Day;8;6.079;0.051;0.226;13.704;0.166;0;0;1.182;307.495;889.908;0.829
"R14316";2017;Day;8;6.941;0.115;0.259;14.522;0.012;0;0;1.18;390.925;902.17;0.716
"R14317";2017;Day;8;8.022;0.197;0.255;15.261;0.019;0;0;1.178;440.005;870.476;0.839
"R14318";2017;Day;8;8.569;0.112;0.223;15.267;0.067;0;0;1.177;344.61;796.772;0.896
"R14319";2017;Day;8;8.36;0.047;0.164;14.718;0.165;0;0;1.178;233.991;686.195;0.909
"R14320";2017;Day;8;8.464;0.023;0.106;14.051;0.185;0;0;1.18;152.291;546.13;0.905
"R14321";2017;Day;8;8.56;0.013;0.061;13.538;0.205;0;0;1.181;89.453;386.122;0.917
"R14322";2017;Day;8;8.454;0.005;0.023;13.047;0.164;0;0;1.183;35.719;217.146;0.953
"R14323";2017;Day;8;8.179;0.003;0.004;12.556;0.064;0;0;1.185;6.64;53.449;0.97
"R14324";2017;Night;8;7.626;0;0;12.125;0.025;0;0;1.188;0;0;0.949
"R14325";2017;Night;8;7.086;0;0;11.797;0.022;0;0;1.189;0;0;0.89
"R14326";2017;Night;8;6.661;0;0;11.557;0.033;0;0;1.19;0;0;0.678
"R14327";2017;Night;8;6.565;0;0;11.364;0.045;0;0;1.191;0;0;0.577
"R14328";2017;Night;8;6.508;0;0;11.357;0.053;0;0;1.191;0;0;0.549
"R14329";2017;Night;8;6.334;0;0;11.184;0.063;0;0;1.193;0;0;0.528
"R14330";2017;Night;8;6.304;0;0;10.921;0.059;0;0;1.194;0;0;0.518
"R14331";2017;Night;8;6.183;0;0;10.648;0.057;0;0;1.196;0;0;0.535
"R14332";2017;Day;8;5.756;0.001;0;10.341;0.059;0;0;1.198;0.635;4.271;0.579
"R14333";2017;Day;8;5.563;0.03;0.018;10.391;0.056;0;0;1.199;30.749;118.662;0.572
"R14334";2017;Day;8;5.309;0.069;0.058;10.882;0.079;0;0;1.198;98.136;287.275;0.538
"R14335";2017;Day;8;5.525;0.13;0.106;11.529;0.121;0;0;1.196;187.383;453.409;0.41
"R14336";2017;Day;8;5.612;0.189;0.147;12.336;0.187;0;0;1.194;275.796;605.75;0.321
"R14337";2017;Day;8;5.609;0.378;0.169;13.444;0.237;0;0;1.191;417.576;733.869;0.323
"R14338";2017;Day;8;5.449;0.352;0.195;14.338;0.173;0;0;1.188;458.073;828.893;0.413
"R14339";2017;Day;8;5.124;0.305;0.217;14.902;0.187;0;0;1.186;467.321;884.666;0.373
"R14340";2017;Day;8;4.784;0.34;0.216;15.47;0.198;0;0;1.184;491.75;896.928;0.312
"R14341";2017;Day;8;4.532;0.396;0.196;16.041;0.155;0;0;1.181;497.817;865.226;0.237
"R14342";2017;Day;8;4.4;0.494;0.16;16.532;0.108;0;0;1.179;492.629;791.441;0.149
"R14343";2017;Day;8;4.399;0.539;0.13;16.758;0.091;0;0;1.178;438.858;680.657;0.158
"R14344";2017;Day;8;4.414;0.472;0.11;16.544;0.107;0;0;1.177;332.412;540.335;0.194
"R14345";2017;Day;8;4.561;0.363;0.084;16.011;0.123;0;0;1.178;216.683;379.997;0.41
"R14346";2017;Day;8;5.211;0.143;0.047;14.756;0.12;0;0;1.18;92.454;210.769;0.554
"R14347";2017;Day;8;6.261;0.03;0.008;12.682;0.077;0;0;1.182;13.942;48.183;0.579
"R14348";2017;Night;8;6.264;0;0;11.898;0.043;0;0;1.185;0;0;0.731
"R14349";2017;Night;8;5.531;0;0;11.63;0.035;0;0;1.187;0;0;0.803
"R14350";2017;Night;8;4.752;0;0;11.068;0.035;0;0;1.188;0;0;0.686
"R14351";2017;Night;8;4.522;0;0;10.76;0.041;0;0;1.189;0;0;0.403
"R14352";2017;Night;8;5.093;0;0;10.762;0.03;0;0;1.191;0;0;0.497
"R14353";2017;Night;8;6.273;0;0;10.302;0.025;0;0;1.193;0;0;0.761
"R14354";2017;Night;8;6.795;0;0;10.1;0.027;0;0;1.197;0;0;0.752
"R14355";2017;Night;8;6.969;0;0;9.942;0.038;0;0;1.201;0;0;0.719
"R14356";2017;Day;8;6.785;0.001;0;10.133;0.057;0;0;1.204;0.521;2.873;0.677
"R14357";2017;Day;8;6.024;0.042;0.019;10.324;0.079;0;0;1.207;32.982;112.074;0.656
"R14358";2017;Day;8;5.244;0.072;0.057;11;0.042;0;0;1.206;97.619;280.941;0.61
"R14359";2017;Day;8;4.668;0.167;0.105;12.216;0.025;0;0;1.202;197.523;447.39;0.407
"R14360";2017;Day;8;5.046;0.475;0.124;14.072;0.004;0;0;1.196;366.453;600;0.241
"R14361";2017;Day;8;5.344;0.693;0.115;15.891;0.007;0;0;1.19;514.644;728.2;0.138
"R14362";2017;Day;8;5.177;0.761;0.114;17.116;0.018;0;0;1.186;608.349;823.597;0.084
"R14363";2017;Day;8;4.767;0.735;0.125;17.839;0.039;0;0;1.184;639.005;879.239;0.089
"R14364";2017;Day;8;4.423;0.687;0.138;18.307;0.057;0;0;1.182;631.787;891.632;0.161
"R14365";2017;Day;8;4.149;0.508;0.171;18.361;0.055;0;0;1.18;539.101;859.77;0.256
"R14366";2017;Day;8;3.94;0.422;0.175;18.254;0.07;0;0;1.18;467.068;785.949;0.358
"R14367";2017;Day;8;3.726;0.253;0.171;17.896;0.109;0;0;1.18;347.244;674.945;0.626
"R14368";2017;Day;8;3.64;0.053;0.114;17.685;0.161;0;0;1.181;174.775;534.416;0.832
"R14369";2017;Day;8;3.585;0.012;0.049;16.239;0.122;0;0;1.184;73.508;373.854;0.93
"R14370";2017;Day;8;3.785;0.005;0.019;14.737;0.165;0;0;1.187;28.848;204.28;0.962
"R14371";2017;Day;8;4.405;0.002;0.002;13.487;0.269;0;0;1.189;4.07;43.145;0.983
"R14372";2017;Night;8;5.165;0;0;12.637;0.415;0;0;1.192;0;0;0.982
"R14373";2017;Night;8;5.82;0;0;12.297;0.517;0;0;1.195;0;0;0.96
"R14374";2017;Night;8;6.297;0;0;12.066;0.547;0;0;1.198;0;0;0.901
"R14375";2017;Night;8;6.389;0;0;11.82;0.426;0;0;1.2;0;0;0.78
"R14376";2017;Night;8;6.393;0;0;11.535;0.216;0;0;1.203;0;0;0.619
"R14377";2017;Night;8;6.224;0;0;10.964;0.065;0;0;1.206;0;0;0.383
"R14378";2017;Night;8;6.27;0;0;10.519;0.02;0;0;1.21;0;0;0.3
"R14379";2017;Night;8;6.213;0;0;10.152;0.018;0;0;1.213;0;0;0.253
"R14380";2017;Day;8;6.237;0.001;0;9.646;0.013;0;0;1.216;0.318;1.749;0.233
"R14381";2017;Day;8;5.989;0.126;0.021;9.42;0.009;0;0;1.219;40.448;105.398;0.232
"R14382";2017;Day;8;5.622;0.317;0.056;9.83;0.003;0;0;1.22;139.488;274.566;0.189
"R14383";2017;Day;8;6.021;0.558;0.076;10.454;0.001;0;0;1.219;274.723;441.269;0.133
"R14384";2017;Day;8;6.167;0.717;0.084;11.444;0.001;0;0;1.217;413.852;594.081;0.073
"R14385";2017;Day;8;6.318;0.799;0.088;12.752;0.001;0;0;1.213;533.54;722.656;0.063
"R14386";2017;Day;8;6.207;0.828;0.091;13.927;0.001;0;0;1.209;617.168;818.105;0.059
"R14387";2017;Day;8;5.915;0.831;0.095;14.914;0.001;0;0;1.204;662.633;873.916;0.073
"R14388";2017;Day;8;5.651;0.761;0.107;15.618;0;0;0;1.201;640.809;886.213;0.109
"R14389";2017;Day;8;5.431;0.721;0.112;16.065;0;0;0;1.198;601.654;854.476;0.097
"R14390";2017;Day;8;5.147;0.76;0.099;16.369;0;0;0;1.196;566.829;780.272;0.053
"R14391";2017;Day;8;4.885;0.743;0.089;16.308;0;0;0;1.194;481.208;669.165;0.036
"R14392";2017;Day;8;4.741;0.677;0.079;15.805;0;0;0;1.195;364.047;528.378;0.011
"R14393";2017;Day;8;4.323;0.57;0.063;14.844;0;0;0;1.197;236.404;367.604;0.004
"R14394";2017;Day;8;4.396;0.358;0.04;13.21;0;0;0;1.2;108.697;197.719;0.003
"R14395";2017;Day;8;4.262;0.078;0.007;10.895;0;0;0;1.203;14.847;38.346;0.006
"R14396";2017;Night;8;3.874;0;0;10.102;0;0;0;1.205;0;0;0.005
"R14397";2017;Night;8;3.798;0;0;9.813;0;0;0;1.208;0;0;0.008
"R14398";2017;Night;8;4.226;0;0;9.398;0;0;0;1.21;0;0;0.106
"R14399";2017;Night;8;4.61;0;0;8.899;0;0;0;1.212;0;0;0.333
"R14400";2017;Night;8;4.918;0;0;8.148;0;0;0;1.214;0;0;0.427
"R14401";2017;Night;8;5.119;0;0;7.499;0;0;0;1.216;0;0;0.309
"R14402";2017;Night;8;5.157;0;0;6.886;0;0;0;1.219;0;0;0.185
"R14403";2017;Night;8;5.012;0;0;6.388;0;0;0;1.221;0;0;0.173
"R14404";2017;Day;8;4.675;0.001;0;5.992;0.001;0;0;1.223;0.191;0.905;0.111
"R14405";2017;Day;8;4.239;0.174;0.02;6.391;0.002;0;0;1.225;42.062;98.654;0.158
"R14406";2017;Day;8;3.039;0.379;0.054;8.389;0.001;0;0;1.226;145.416;268.07;0.201
"R14407";2017;Day;8;2.346;0.568;0.075;10.319;0;0;0;1.22;274.029;435.06;0.155
"R14408";2017;Day;8;3.434;0.691;0.087;12.657;0;0;0;1.211;404.259;588.081;0.072
"R14409";2017;Day;8;4.09;0.757;0.094;14.099;0;0;0;1.205;516.183;716.906;0.031
"R14410";2017;Day;8;4.545;0.785;0.1;15.229;0;0;0;1.201;597.525;812.428;0.067
"R14411";2017;Day;8;4.915;0.76;0.108;16.162;0.001;0;0;1.196;628.703;868.416;0.122
"R14412";2017;Day;8;5.239;0.736;0.115;16.827;0.001;0;0;1.192;629.768;880.882;0.204
"R14413";2017;Day;8;5.477;0.646;0.129;17.197;0.001;0;0;1.189;572.163;848.77;0.315
"R14414";2017;Day;8;5.595;0.512;0.142;17.25;0.001;0;0;1.187;473.935;774.734;0.332
"R14415";2017;Day;8;5.581;0.489;0.125;17.197;0.004;0;0;1.185;400.406;663.238;0.232
"R14416";2017;Day;8;5.632;0.528;0.095;16.873;0.001;0;0;1.185;326.56;522.209;0.107
"R14417";2017;Day;8;5.788;0.473;0.069;16.082;0.003;0;0;1.186;217.825;361.246;0.078
"R14418";2017;Day;8;6.355;0.285;0.041;14.627;0.002;0;0;1.189;98.659;191.103;0.091
"R14419";2017;Day;8;7.102;0.047;0.006;12.781;0;0;0;1.193;11.818;33.808;0.112
